League,Player,Pos
KERFUFFLE,Braelon Allen,RB
KERFUFFLE,JaTavion Sanders,TE
KERFUFFLE,Will Shpley,RB
TRUFFLE,Ashton Jeanty,RB
TRUFFLE,Omarion Hampton,RB
TRUFFLE,Cam Ward,QB
TRUFFLE,TreVeyon Henderson,RB
TRUFFLE,Tetairoa McMillan,WR
TRUFFLE,Quinshon Judkins,RB
TRUFFLE,Colston Loveland,TE
TRUFFLE,Kaleb Johnson,RB
TRUFFLE,Tyler Warren,TE
TRUFFLE,RJ Harvey,RB
TRUFFLE,Travis Hunter,WR
TRUFFLE,Cam Skattebo,RB
TRUFFLE,Emeka Egbuka,WR
TRUFFLE,Jaxson Dart,QB
TRUFFLE,Bhayshul Tuten,RB
TRUFFLE,Jayden Higgins,WR
TRUFFLE,Matthew Golden,WR
TRUFFLE,Shedeur Sanders,QB
TRUFFLE,Tyler Shough,QB
TRUFFLE,Kyle Williams,WR
TRUFFLE,Tre Harris,WR
TRUFFLE,Jaydon Blue,RB
TRUFFLE,Luther Burden,WR
TRUFFLE,Jack Bech,WR
TRUFFLE,Jalen Milroe,QB
TRUFFLE,Terrance Ferguson,TE
TRUFFLE,Isaac TeSlaa,WR
TRUFFLE,Trevor Etienne,RB
TRUFFLE,Dylan Sampson,RB
TRUFFLE,Pat Bryant,WR
TRUFFLE,Mason Taylor,TE
TRUFFLE,Ollie Gordon,RB
TRUFFLE,Jaylin Noel,WR
TRUFFLE,Jarquez Hunter,RB
TRUFFLE,Devin Neal,RB
TRUFFLE,Will Howard,QB
KERFUFFLE,Ashton Jeanty,RB
KERFUFFLE,Cam Ward,QB
KERFUFFLE,Travis Hunter,WR
KERFUFFLE,Omarion Hampton,RB
KERFUFFLE,Tetairoa McMillan,WR
KERFUFFLE,Emeka Egbuka,WR
KERFUFFLE,TreVeyon Henderson,RB
KERFUFFLE,Quinshon Judkins,RB
KERFUFFLE,RJ Harvey,RB
KERFUFFLE,Kaleb Johnson,RB
KERFUFFLE,Jaxson Dart,QB
KERFUFFLE,Colston Loveland,TE
KERFUFFLE,Matthew Golden,WR
KERFUFFLE,Tre Harris,WR
KERFUFFLE,Tyler Warren,TE
KERFUFFLE,Jack Bech,WR
KERFUFFLE,Jayden Higgins,WR
KERFUFFLE,Jalen Milroe,QB
KERFUFFLE,Cam Skattebo,RB
KERFUFFLE,Bhayshul Tuten,RB
KERFUFFLE,Terrance Ferguson,TE
KERFUFFLE,Luther Burden,WR
KERFUFFLE,Kyle Williams,WR
KERFUFFLE,Devin Neal,RB
KERFUFFLE,Shedeur Sanders,QB
KERFUFFLE,Jaydon Blue,RB
KERFUFFLE,Jaylin Noel,WR
KERFUFFLE,Tyler Shough,QB
KERFUFFLE,Harold Fannin,TE
KERFUFFLE,Elic Ayomanor,WR
KERFUFFLE,Dylan Sampson,RB
KERFUFFLE,Mason Taylor,TE
KERFUFFLE,Trevor Etienne,RB
KERFUFFLE,Woody Marks,RB
KERFUFFLE,Jarquez Hunter,RB
KERFUFFLE,Jalen Royals,WR
