League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
TRUFFLE,QB,FRR,Ty Simpson,LAR,SF,Thu  8:35pm ET,11,48.5,---,16,6%,1%,10,3,0.00,0.00,36.09
TRUFFLE,QB,FRR,Tua Tagovailoa,ATL,@PIT,Sun  1:00pm ET,11,42.5,30,24,16%,2%,1,1,161.80,205.38,147.04
TRUFFLE,RB,FRR,Blake Corum,LAR,SF,Thu  8:35pm ET,11,48.5,35,22,80%,12%,5,1,161.20,103.00,127.80
TRUFFLE,RB,FRR,Jordan Mason,MIN,GB,Sun  4:25pm ET,6,45.5,34,18,83%,16%,1,1,160.90,117.20,138.01
TRUFFLE,RB,FRR,Nicholas Singleton,TEN,NYJ,Sun  1:00pm ET,9,39,---,32,11%,1%,5,3,0.00,0.00,20.91
TRUFFLE,WR,FRR,Jayden Reed,GB,@MIN,Sun  4:25pm ET,11,45.5,45,1,67%,11%,15,2,38.50,130.00,113.56
TRUFFLE,TE,FRR,Travis Kelce,KC,DEN,Mon  8:15pm ET,5,43,12,18,88%,50%,5,1,162.20,160.30,119.37
TRUFFLE,WR,FRR,Tank Dell,HOU,BUF,Sun  1:00pm ET,8,44.5,---,13,21%,1%,4,2,0.00,85.90,67.18
TRUFFLE,QB,GF,Jordan Love,GB,@MIN,Sun  4:25pm ET,11,45.5,18,1,73%,17%,100,2,249.34,277.88,267.85
TRUFFLE,RB,GF,Josh Jacobs,GB,@MIN,Sun  4:25pm ET,11,45.5,45,15,93%,56%,81,1,264.10,265.20,125.42
TRUFFLE,RB,GF,Ashton Jeanty,LV,MIA,Sun  4:25pm ET,13,40.5,12,24,98%,88%,50,2,247.10,245.90,191.74
TRUFFLE,WR,GF,Davante Adams,LAR,SF,Thu  8:35pm ET,11,48.5,25,16,92%,61%,31,2,213.90,211.10,145.30
TRUFFLE,WR,GF,Jaxon Smith-Njigba,SEA,NE,Wed  8:20pm ET,11,44.5,3,11,100%,100%,60,2,322.00,221.52,235.56
TRUFFLE,TE,GF,Tucker Kraft,GB,@MIN,Sun  4:25pm ET,11,45.5,6,4,73%,49%,1,1,107.20,104.50,141.80
TRUFFLE,RB,GF,Rhamondre Stevenson,NE,@SEA,Wed  8:20pm ET,11,44.5,25,4,91%,36%,17,1,186.80,171.80,142.37
TRUFFLE,RB,GF,Jaylen Warren,PIT,ATL,Sun  1:00pm ET,9,42.5,32,16,92%,48%,20,1,242.30,190.20,153.95
TRUFFLE,QB,GF,Jared Goff,DET,NO,Sun  1:00pm ET,6,50.5,11,6,90%,47%,68,3,302.76,313.62,284.42
TRUFFLE,DST,GF,Steelers,PIT,ATL,Sun  1:00pm ET,9,42.5,6,18,88%,73%,1,2,158.00,159.00,150.20
TRUFFLE,QB,GF,Michael Penix,ATL,@PIT,Sun  1:00pm ET,11,42.5,---,24,11%,1%,3,1,125.48,77.86,85.29
TRUFFLE,RB,GF,Jonah Coleman,DEN,@KC,Mon  8:15pm ET,10,43,44,6,33%,1%,10,3,0.00,0.00,22.41
TRUFFLE,RB,GF,Mike Washington,LV,MIA,Sun  4:25pm ET,13,40.5,37,24,50%,5%,5,3,0.00,0.00,107.64
TRUFFLE,WR,GF,Romeo Doubs,NE,@SEA,Wed  8:20pm ET,11,44.5,53,4,68%,13%,5,3,151.40,141.10,116.08
TRUFFLE,WR,GF,Tez Johnson,TB,@CIN,Sun  1:00pm ET,10,50.5,---,9,14%,2%,1,1,80.50,82.20,59.03
TRUFFLE,WR,GF,Wan'Dale Robinson,TEN,NYJ,Sun  1:00pm ET,9,39,54,19,77%,25%,1,1,165.90,133.80,105.63
TRUFFLE,WR,GF,Deebo Samuel,SF,@LAR,Thu  8:35pm ET,8,48.5,49,24,76%,21%,33,2,152.60,166.70,111.35
TRUFFLE,TE,GF,Harold Fannin,CLE,@JAC,Sun  1:00pm ET,11,40.5,8,23,90%,70%,3,1,148.40,149.30,148.27
TRUFFLE,TE,GF,Dalton Kincaid,BUF,@HOU,Sun  1:00pm ET,7,44.5,13,7,79%,31%,10,2,114.10,98.40,118.71
TRUFFLE,QB,MAM,Caleb Williams,CHI,@CAR,Sun  1:00pm ET,10,47.5,10,7,94%,65%,50,1,346.58,318.40,303.71
TRUFFLE,RB,MAM,Travis Etienne,NO,@DET,Sun  1:00pm ET,8,50.5,15,7,98%,89%,68,3,279.90,238.60,192.44
TRUFFLE,RB,MAM,Bhayshul Tuten,JAC,CLE,Sun  1:00pm ET,7,40.5,24,14,82%,47%,5,2,104.90,102.40,184.60
TRUFFLE,WR,MAM,Rashee Rice,KC,DEN,Mon  8:15pm ET,5,43,12,2,96%,74%,30,2,127.10,116.10,199.49
TRUFFLE,WR,MAM,Garrett Wilson,NYJ,@TEN,Sun  1:00pm ET,13,39,20,29,84%,55%,60,1,81.50,155.10,150.78
TRUFFLE,TE,MAM,Trey McBride,ARI,@LAC,Sun  4:25pm ET,14,47.5,2,9,100%,98%,55,3,252.90,194.70,163.74
TRUFFLE,WR,MAM,Chris Godwin,TB,@CIN,Sun  1:00pm ET,10,50.5,33,9,82%,30%,26,2,71.00,118.60,122.78
TRUFFLE,RB,MAM,RJ Harvey,DEN,@KC,Mon  8:15pm ET,10,43,50,6,90%,39%,10,2,205.70,202.70,143.13
TRUFFLE,QB,MAM,Justin Herbert,LAC,ARI,Sun  4:25pm ET,7,47.5,8,17,93%,59%,95,1,320.88,286.38,296.11
TRUFFLE,DST,MAM,Rams,LAR,SF,Thu  8:35pm ET,11,48.5,1,19,91%,78%,1,1,166.00,117.00,172.20
TRUFFLE,QB,MAM,Geno Smith,NYJ,@TEN,Sun  1:00pm ET,13,39,28,28,14%,3%,9,2,187.80,234.52,211.87
TRUFFLE,RB,MAM,Emmett Johnson,KC,DEN,Mon  8:15pm ET,5,43,51,3,21%,1%,5,3,0.00,0.00,22.41
TRUFFLE,RB,MAM,Tyrone Tracy,NYG,DAL,Sun  8:20pm ET,8,48.5,58,27,64%,14%,7,2,178.60,190.60,80.74
TRUFFLE,WR,MAM,Stefon Diggs,WAS,@PHI,Sun  4:25pm ET,7,45.5,41,8,81%,23%,12,2,176.30,168.94,102.23
TRUFFLE,WR,MAM,Elijah Sarratt,BAL,@IND,Sun  1:00pm ET,13,47.5,---,27,3%,1%,3,3,0.00,0.00,40.56
TRUFFLE,TE,MAM,Colby Parkinson,LAR,SF,Thu  8:35pm ET,11,48.5,---,22,21%,10%,1,1,111.40,71.40,76.67
TRUFFLE,WR,MAM,KC Concepcion,CLE,@JAC,Sun  1:00pm ET,11,40.5,44,15,52%,6%,20,3,0.00,0.00,106.73
TRUFFLE,WR,MAM,Jerry Jeudy,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,15,39%,6%,6,1,102.70,147.30,107.01
TRUFFLE,WR,MAM,Darius Slayton,NYG,DAL,Sun  8:20pm ET,8,48.5,---,32,13%,4%,6,1,84.80,106.70,74.57
TRUFFLE,DC,MAM,Brandon Aiyuk Dead Cap,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,0%,0%,7,1,0.00,0.00,0.00
TRUFFLE,QB,MCM,Daniel Jones,IND,BAL,Sun  1:00pm ET,13,47.5,22,21,50%,7%,20,1,245.54,155.72,277.87
TRUFFLE,RB,MCM,Javonte Williams,DAL,@NYG,Sun  8:20pm ET,14,48.5,14,28,99%,88%,65,2,281.80,198.00,200.74
TRUFFLE,RB,MCM,Kyren Williams,LAR,SF,Thu  8:35pm ET,11,48.5,13,22,98%,94%,75,1,313.30,311.20,195.60
TRUFFLE,WR,MCM,Tee Higgins,CIN,TB,Sun  1:00pm ET,6,50.5,13,18,94%,80%,41,2,193.60,172.10,168.34
TRUFFLE,WR,MCM,Puka Nacua,LAR,SF,Thu  8:35pm ET,11,48.5,2,16,99%,98%,1,1,331.00,256.90,244.88
TRUFFLE,TE,MCM,Colston Loveland,CHI,@CAR,Sun  1:00pm ET,10,47.5,3,24,93%,79%,20,2,142.30,141.40,150.24
TRUFFLE,RB,MCM,David Montgomery,HOU,BUF,Sun  1:00pm ET,8,44.5,21,25,94%,62%,80,2,194.92,234.70,170.71
TRUFFLE,WR,MCM,DJ Moore,BUF,@HOU,Sun  1:00pm ET,7,44.5,21,7,91%,65%,42,2,157.58,204.82,140.05
TRUFFLE,QB,MCM,Fernando Mendoza,LV,MIA,Sun  4:25pm ET,13,40.5,31,23,20%,1%,45,3,0.00,0.00,172.08
TRUFFLE,DST,MCM,Seahawks,SEA,NE,Wed  8:20pm ET,11,44.5,4,17,97%,86%,2,1,213.00,164.00,169.20
