Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
2022,1,FRR,Tyler Higbee,TE,LAR,0,0,0,0,0,11,26.8,7.8,0,0,80,39,7.9,7.9
2022,1,W (9/29),Hayden Hurst,TE,CIN,0,0,0,0,0,8,15.1,9.2,1,0,60,46,7.6,7.6
2022,1,W (9/29),Kyle Philips,WR,TEN,0,0,0,0,0,9,27.3,11,2,0,50,66,7.6,7.6
2022,1,NN,Treylon Burks,WR,TEN,0,0,0,0,0,5,15.2,18.3,2,0,66.7,55,7.5,7.5
2022,1,VD,Diontae Johnson,WR,PIT,0,0,0,0,0,12,31.6,7.9,1,0,28.6,55,7.5,7.5
2022,1,NN,Marquez Valdes-Scantling,WR,KC,0,0,0,-3,0,4,10.3,11,0,0,75,41,7.4,7.4
2022,1,W (9/29),Ian Thomas,TE,CAR,0,0,0,0,0,3,11.1,26.5,1,1,100,53,7.3,7.3
2022,1,MAM,Melvin Gordon,RB,DEN,0,0,0,4.8,0,2,4.8,7,0,0,0,72,7.2,7.2
2022,1,MAM,Garrett Wilson,WR,NYJ,0,0,0,0,0,8,13.6,13,0,0,50,52,7.2,7.2
2022,1,W (9/29),Andrew Beck,TE,DEN,0,0,0,0,0,3,7.1,26,2,0,100,52,7.2,7.2
2022,1,CRB,Breece Hall,RB,NYJ,0,0,0,3.8,0,9,15.3,6.3,0,0,33.3,61,7.1,7.1
2022,1,W (9/29),Chris Myarick,TE,NYG,0,0,0,0,0,1,4.8,1,0,0,100,1,7.1,7.1
2022,1,W (9/29),Jody Fortson,TE,KC,0,0,0,0,0,1,2.6,1,0,0,100,1,7.1,7.1
2022,1,WLW,DJ Moore,WR,CAR,0,0,0,7,0,6,22.2,14.3,1,0,66.7,50,7,7
2022,1,W (9/29),Jerick McKinnon,RB,KC,0,0,0,5.5,0,4,10.3,9,0,0,33.3,49,6.9,6.9
2022,1,FRR,TJ Hockenson,TE,DET,0,0,0,0,0,7,18.9,9.5,0,0,75,38,6.8,6.8
2022,1,W (9/29),Marvin Jones,WR,JAC,0,0,0,0,0,6,14.3,9.5,0,0,75,38,6.8,6.8
2022,1,CRB,Romeo Doubs,WR,GB,0,0,0,11,0,5,12.8,9.2,1,0,25,48,6.8,6.8
2022,1,MWM,JD McKissic,RB,WAS,0,0,0,2.7,0,3,7.3,6.7,0,0,33.3,28,6.8,6.8
2022,1,W (9/29),Parris Campbell,WR,IND,0,0,0,0,0,4,8,12.3,1,0,100,37,6.7,6.7
2022,1,W (9/29),Ashton Dulin,WR,IND,0,0,0,0,0,6,12,15.3,1,0,66.7,46,6.6,6.6
2022,1,CC,Alvin Kamara,RB,NO,0,0,0,4.3,0,4,11.8,2.3,0,0,33.3,46,6.6,6.6
2022,1,W (9/29),Kenyan Drake,RB,BAL,0,0,0,2.8,0,1,3.3,15,0,0,100,46,6.6,6.6
2022,1,AFL,Logan Thomas,TE,WAS,0,0,0,0,0,6,14.6,15,1,0,66.7,45,6.5,6.5
2022,1,W (9/29),Joshua Kelley,RB,LAC,0,0,0,5.2,0,2,5.9,7,0,0,50,35,6.5,6.5
2022,1,AFL,Raheem Mostert,RB,MIA,0,0,0,3.2,0,1,3,16,0,0,100,32,6.2,6.2
2022,1,CRB,Elijah Mitchell,RB,SF,0,0,0,6.8,0,0,0,0,0,0,0,41,6.1,6.1
2022,1,VD,David Montgomery,RB,CHI,0,0,0,1.5,0,4,23.5,8,0,0,33.3,50,6,6
2022,1,FRR,Dameon Pierce,RB,HOU,0,0,0,3,0,1,2.7,6,0,0,0,39,5.9,5.9
2022,1,W (9/29),Anthony Schwartz,WR,CLE,0,0,0,10,0,2,5.9,19,0,0,100,39,5.9,5.9
2022,1,W (9/29),Jamison Crowder,WR,BUF,0,0,0,0,0,4,12.9,9.3,0,0,100,28,5.8,5.8
2022,1,W (9/29),Braxton Berrios,WR,NYJ,0,0,0,0,0,6,10.2,7.4,0,0,40,37,5.7,5.7
2022,1,VD,Brandon Aiyuk,WR,SF,0,0,0,7,0,3,10.7,20,1,0,50,47,5.7,5.7
