League,Season,TRUFFLE,Pos,Player,NFL,Salary,Contract,Ring,BenchCup
TRUFFLE,2021,MWM,RB,Dalvin Cook,MIN,90,1,0,0
TRUFFLE,2021,MWM,WR,Cooper Kupp,LAR,53,2,0,0
TRUFFLE,2021,MWM,WR,Van Jefferson,LAR,3,2,0,0
TRUFFLE,2021,MWM,WR,DK Metcalf,SEA,52,2,0,0
TRUFFLE,2021,MWM,TE,CJ Uzomah,CIN,1,2,0,0
TRUFFLE,2021,MWM,RB,Rhamondre Stevenson,NE,3,3,0,0
TRUFFLE,2021,MWM,QB,Jalen Hurts,PHI,1,1,0,0
TRUFFLE,2021,MWM,RB,Alexander Mattison,MIN,3,1,0,0
TRUFFLE,2021,MWM,WR,Adam Thielen,MIN,59,2,0,0
TRUFFLE,2021,MWM,RB,Darrell Henderson,LAR,8,1,0,0
TRUFFLE,2021,MWM,RB,James Robinson,JAC,4,1,0,0
TRUFFLE,2021,MWM,QB,Baker Mayfield,CLE,30,1,0,0
TRUFFLE,2021,MWM,WR,Corey Davis,NYJ,4,1,0,0
TRUFFLE,2021,NN,QB,Kyler Murray,ARI,82,1,0,0
TRUFFLE,2021,NN,RB,Justin Jackson,LAC,1,2,0,0
TRUFFLE,2021,NN,RB,Cam Akers,LAR,15,2,0,0
TRUFFLE,2021,NN,WR,Cole Beasley,BUF,6,2,0,0
TRUFFLE,2021,NN,WR,Amari Cooper,DAL,49,2,0,0
TRUFFLE,2021,NN,WR,Christian Kirk,ARI,2,2,0,0
TRUFFLE,2021,NN,TE,Pat Freiermuth,PIT,3,3,0,0
TRUFFLE,2021,NN,WR,Odell Beckham,LAR,18,2,0,0
TRUFFLE,2021,NN,TE,Tyler Higbee,LAR,1,2,0,0
TRUFFLE,2021,NN,QB,Deshaun Watson,HOU,62,3,0,0
TRUFFLE,2021,NN,QB,Kyle Trask,TB,4,3,0,0
TRUFFLE,2021,NN,RB,Melvin Gordon,DEN,25,1,0,0
TRUFFLE,2021,NN,RB,JD McKissic,WAS,13,1,0,0
TRUFFLE,2021,NN,RB,Chris Carson,SEA,59,2,0,0
TRUFFLE,2021,NN,WR,Cyril Grayson,TB,1,2,0,0
TRUFFLE,2021,NN,WR,Justin Jefferson,MIN,5,2,0,0
TRUFFLE,2021,NN,QB,Trevor Lawrence,JAC,50,3,0,0
TRUFFLE,2021,NN,WR,Calvin Ridley,ATL,54,3,0,0
TRUFFLE,2021,NN,WR,Will Fuller,MIA,41,1,0,0
TRUFFLE,2021,VD,QB,Matthew Stafford,LAR,49,1,0,0
TRUFFLE,2021,VD,RB,Saquon Barkley,NYG,97,1,0,0
TRUFFLE,2021,VD,RB,Austin Ekeler,LAC,55,2,0,0
TRUFFLE,2021,VD,WR,Antonio Brown,TB,1,1,0,0
TRUFFLE,2021,VD,WR,Davante Adams,GB,67,1,0,0
TRUFFLE,2021,VD,WR,Diontae Johnson,PIT,28,2,0,0
TRUFFLE,2021,VD,TE,Dalton Schultz,DAL,5,2,0,0
TRUFFLE,2021,VD,RB,David Montgomery,CHI,30,2,0,0
TRUFFLE,2021,VD,QB,Ben Roethlisberger,PIT,11,1,0,0
TRUFFLE,2021,VD,RB,D'Onta Foreman,TEN,3,2,0,0
TRUFFLE,2021,VD,RB,Khalil Herbert,CHI,1,2,0,0
TRUFFLE,2021,VD,WR,Jamison Crowder,NYJ,5,2,0,0
TRUFFLE,2021,VD,WR,Darnell Mooney,CHI,2,2,0,0
TRUFFLE,2021,VD,WR,Laviska Shenault,JAC,4,2,0,0
TRUFFLE,2021,VD,TE,Cole Kmet,CHI,1,1,0,0
TRUFFLE,2021,VD,QB,Davis Mills,HOU,3,3,0,0
TRUFFLE,2021,VD,QB,Zach Wilson,NYJ,20,3,0,0
TRUFFLE,2021,VD,RB,Derrick Henry,TEN,95,1,0,0
TRUFFLE,2021,WLW,QB,Carson Wentz,IND,35,2,1,0
TRUFFLE,2021,WLW,RB,Najee Harris,PIT,25,3,1,0
TRUFFLE,2021,WLW,RB,Elijah Mitchell,SF,59,1,1,0
TRUFFLE,2021,WLW,WR,Tyler Lockett,SEA,60,2,1,0
TRUFFLE,2021,WLW,WR,Tee Higgins,CIN,5,2,1,0
TRUFFLE,2021,WLW,WR,CeeDee Lamb,DAL,20,2,1,0
TRUFFLE,2021,WLW,TE,Rob Gronkowski,TB,19,1,1,0
TRUFFLE,2021,WLW,WR,DJ Moore,CAR,46,2,1,0
TRUFFLE,2021,WLW,QB,Tyler Huntley,BAL,10,2,1,0
TRUFFLE,2021,WLW,QB,Lamar Jackson,BAL,83,3,1,0
TRUFFLE,2021,WLW,QB,Sam Ehlinger,IND,1,2,1,0
TRUFFLE,2021,WLW,RB,Zack Moss,BUF,3,2,1,0
TRUFFLE,2021,WLW,RB,Jeff Wilson,SF,2,2,1,0
TRUFFLE,2021,WLW,WR,Michael Thomas,NO,52,3,1,0
TRUFFLE,2021,WLW,WR,Bryan Edwards,LV,2,2,1,0
TRUFFLE,2021,WLW,WR,Gabe Davis,BUF,2,2,1,0
TRUFFLE,2021,WLW,WR,Rashod Bateman,BAL,5,3,1,0
TRUFFLE,2021,WLW,WR,Terrace Marshall,CAR,4,3,1,0
TRUFFLE,2021,WLW,QB,Daniel Jones,NYG,48,2,1,0
TRUFFLE,2020,AFL,QB,Drew Lock,DEN,44,3,0,0
