Player,TRUFFLE,Pos,NFL,Opp,GameTime,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Last,Avg,Proj
Marvin Jones,CC,WR,JAC,TBA,NA,NA,NA,NA,NA,0.75,0.25,10,1,149.2,173.3,107.28
Mecole Hardman,ELP,WR,KC,TBA,NA,NA,NA,60,NA,0.48,0.08,26,1,116.9,109.8,97.7
Michael Carter,GF,RB,NYJ,TBA,NA,NA,NA,39,NA,0.83,0.33,5,2,164.4,164.4,145.01
Michael Gallup,CRB,WR,DAL,TBA,NA,NA,NA,55,NA,0.85,0.2,35,1,79.5,142.8,134.98
Michael Pittman,ELP,WR,IND,TBA,NA,NA,NA,30,NA,0.93,0.53,5,1,205.6,145.7,159.5
Michael Thomas,WLW,WR,NO,TBA,NA,NA,NA,16,NA,0.55,0.28,52,2,0,129.1,155.81
Mike Evans,MAM,WR,TB,TBA,NA,NA,NA,7,NA,0.95,0.58,54,1,245.5,233.9,190.96
Mike Gesicki,CC,TE,MIA,TBA,NA,NA,NA,14,NA,0.8,0.33,8,1,131,125.4,102.01
Mike Williams,MCM,WR,LAC,TBA,NA,NA,NA,27,NA,0.93,0.55,15,1,221.6,168.9,163.52
N'Keal Harry Dead Cap,ELP,DC,SF,TBA,NA,NA,NA,NA,NA,0,0,4,1,0,0,0
Najee Harris,WLW,RB,PIT,TBA,NA,NA,NA,3,NA,0.93,0.9,25,2,310.7,310.7,213.69
Nico Collins,AFL,WR,HOU,TBA,NA,NA,NA,NA,NA,0.3,0.03,3,2,72.6,72.6,66.45
Noah Fant,GF,TE,SEA,TBA,NA,NA,NA,12,NA,0.8,0.43,14,2,120,110.5,94.44
Nyheim Hines,CC,RB,IND,TBA,NA,NA,NA,NA,NA,0.8,0.03,15,1,102.6,123.6,87.45
Odell Beckham,NN,WR,LAR,TBA,NA,NA,NA,NA,NA,0.93,0.48,18,1,113.1,120.72,0
Pat Freiermuth,NN,TE,PIT,TBA,NA,NA,NA,10,NA,0.78,0.3,3,2,125.7,125.7,97.22
Patrick Mahomes,FRR,QB,KC,TBA,NA,NA,NA,2,NA,0.95,0.9,72,2,386.66,361.68,352.2
Patriots,GF,DST,NE,TBA,NA,NA,NA,4,NA,0.91,0.66,2,1,136,140,133.1
Rashaad Penny,FRR,RB,SEA,TBA,NA,NA,NA,40,NA,0.83,0.48,35,1,146.7,77.8,113.81
Rashod Bateman,WLW,WR,BAL,TBA,NA,NA,NA,35,NA,0.6,0.13,5,2,86.5,86.5,133.54
Rhamondre Stevenson,MWM,RB,NE,TBA,NA,NA,NA,46,NA,0.93,0.33,3,2,136.9,136.9,132.31
Ricky Seals-Jones,AFL,TE,NYG,TBA,NA,NA,NA,28,NA,0.23,0.03,2,1,53.1,36.7,50.4
Robert Woods,FRR,WR,TEN,TBA,NA,NA,NA,53,NA,0.55,0.18,24,1,127.2,178,128.24
Ronald Jones,CRB,RB,KC,TBA,NA,NA,NA,37,NA,0.8,0.33,32,1,96.2,161.9,97.21
Rondale Moore,CC,WR,ARI,TBA,NA,NA,NA,NA,NA,0.55,0.1,10,2,75.1,75.1,84.3
Russell Gage,CRB,WR,TB,TBA,NA,NA,NA,47,NA,0.68,0.3,2,1,134,120.92,129.89
Russell Wilson,GF,QB,DEN,TBA,NA,NA,NA,6,NA,0.93,0.73,63,2,259.82,329.08,301.04
Ryan Tannehill,CRB,QB,TEN,TBA,NA,NA,NA,22,NA,0.83,0.43,65,1,300.36,300.28,238.89
Saints,NN,DST,NO,TBA,NA,NA,NA,17,NA,0.88,0.59,1,1,124,123,169.1
Sam Darnold,ELP,QB,CAR,TBA,NA,NA,NA,NA,NA,0.28,0.05,1,1,178.28,173.14,194.13
Samaje Perine,ELP,RB,CIN,TBA,NA,NA,NA,NA,NA,0.45,0.13,1,1,76.2,46.5,64.32
Seahawks,VD,DST,SEA,TBA,NA,NA,NA,31,NA,0.47,0.25,3,1,88,103,106.4
Sony Michel,MAM,RB,LAR,TBA,NA,NA,NA,NA,NA,0.88,0.45,1,1,180.3,159.7,0
Stefon Diggs,MCM,WR,BUF,TBA,NA,NA,NA,5,NA,1,1,86,1,248.5,238.8,193.26
Sterling Shepard,GF,WR,NYG,TBA,NA,NA,NA,NA,NA,0.3,0.03,1,1,61.6,101,89.08
TJ Hockenson,FRR,TE,DET,TBA,NA,NA,NA,7,NA,0.75,0.28,21,1,116.3,111.8,100.47
Taysom Hill,CRB,QB,NO,TBA,NA,NA,NA,NA,NA,0.65,0.15,2,1,147.72,147.86,103.48
Teddy Bridgewater,MCM,QB,MIA,TBA,NA,NA,NA,NA,NA,0.45,0.08,6,1,218.68,189.82,12.57
Tee Higgins,WLW,WR,CIN,TBA,NA,NA,NA,11,NA,1,0.8,5,1,198.1,187.4,167.61
Terrace Marshall,WLW,WR,CAR,TBA,NA,NA,NA,NA,NA,0.35,0.03,4,2,22.8,22.8,26.43
Terry McLaurin,AFL,WR,WAS,TBA,NA,NA,NA,17,NA,0.93,0.5,52,1,184.5,182.4,147.97
Tom Brady,MWM,QB,TB,TBA,NA,NA,NA,5,NA,0.9,0.78,84,1,388.74,335.76,320.87
Travis Etienne,MCM,RB,JAC,TBA,NA,NA,NA,29,NA,0.55,0.1,10,2,0,0,134.64
Travis Kelce,CRB,TE,KC,TBA,NA,NA,NA,1,NA,0.93,0.8,46,1,233.8,247.94,210.4
Trevor Lawrence,NN,QB,JAC,TBA,NA,NA,NA,15,NA,0.7,0.18,50,2,220.04,220.04,254.76
Trey Lance,AFL,QB,SF,TBA,NA,NA,NA,17,NA,0.63,0.25,45,2,72.92,72.92,286.43
Trey Sermon,GF,RB,SF,TBA,NA,NA,NA,NA,NA,0.5,0.08,5,2,35.3,35.3,23
Tua Tagovailoa,MAM,QB,MIA,TBA,NA,NA,NA,18,NA,0.75,0.3,50,1,193.92,172.16,263.26
Tyler Higbee,NN,TE,LAR,TBA,NA,NA,NA,25,NA,0.8,0.33,1,1,119,116.5,86.73
Tyreek Hill,ELP,WR,MIA,TBA,NA,NA,NA,9,NA,0.95,0.9,67,2,264.5,246.6,155.61
Van Jefferson,MWM,WR,LAR,TBA,NA,NA,NA,NA,NA,0.78,0.35,3,1,151.2,98.1,81.9
Zach Ertz,CRB,TE,ARI,TBA,NA,NA,NA,9,NA,0.88,0.68,1,1,146.7,128.2,110.56
Zach Wilson,VD,QB,NYJ,TBA,NA,NA,NA,21,NA,0.4,0.08,20,2,161.86,161.86,245.34
Zack Moss,WLW,RB,BUF,TBA,NA,NA,NA,NA,NA,0.55,0.08,3,1,116.2,119.9,21.4
