playerID,Player,Pos,NFL,TRUFFLE
1630429,Montel Harris,RB,FA,W (5/9)
2867472,Ty Chandler,RB,MIN,W (5/9)
2261694,DeVontres Dukes,WR,DEN,W (5/9)
2804034,Cam Akers,RB,LAR,NN
2257291,John Bates,TE,WAS,W (5/9)
2183545,Kerrith Whyte,RB,GB,W (5/9)
1999948,Jonathan Williams,RB,WAS,W (5/9)
2260681,Tony Jones,RB,NO,W (5/9)
2245903,Brandon Johnson,RB,PIT,W (5/9)
2060554,Wendell Smallwood,RB,WAS,W (5/9)
1265470,Golden Tate,WR,TEN,W (5/9)
2183083,Gardner Minshew,QB,PHI,W (5/9)
2965989,Javian Hawkins,RB,LAR,W (5/9)
2131571,Will Grier,QB,DAL,W (5/9)
3116788,DJ Montgomery,WR,NYJ,W (5/9)
2071844,Joshua Dobbs,QB,CLE,W (5/9)
2251097,TJ Hockenson,TE,DET,FRR
3161133,Mason Kinsey,WR,TEN,W (5/9)
2139213,Kendall Blanton,TE,LAR,W (5/9)
2248629,Charlie Woerner,TE,SF,W (5/9)
3117063,Jason Moore,WR,LAC,W (5/9)
2876547,Kylin Hill,RB,GB,W (5/9)
2180514,Jauan Jennings,WR,SF,W (5/9)
2239828,CJ Marable,RB,CHI,W (5/9)
1824667,Jared Baker,RB,ARI,W (5/9)
2183195,Joshua Kelley,RB,LAC,W (5/9)
2142291,DeShone Kizer,QB,TEN,W (5/9)
2079796,Pharoh Cooper,WR,NYG,W (5/9)
1868418,Devante Davis,WR,PHI,W (5/9)
2787078,Jelani Woods,TE,IND,W (5/9)
2867428,Hunter Long,TE,MIA,W (5/9)
1860924,Jakeem Grant,WR,CLE,MCM
3159059,De'Michael Harris,WR,IND,W (5/9)
2131172,Geronimo Allison,WR,DET,W (5/9)
3161102,Michael Dereus,WR,BAL,W (5/9)
2960892,Zach Wilson,QB,NYJ,VD
2758278,Kellen Mond,QB,MIN,W (5/9)
2186835,Bryce Love,RB,WAS,W (5/9)
2961270,Pat Freiermuth,TE,PIT,NN
2060558,Kevin White,WR,NO,W (5/9)
2186266,Olamide Zaccheaus,WR,ATL,W (5/9)
1984363,BJ Catalon,RB,FA,W (5/9)
1760290,David Johnson,RB,HOU,W (5/9)
517291,Chad Henne,QB,KC,W (5/9)
2260987,Ben Victor,WR,BAL,W (5/9)
2079556,Rodney Adams,WR,NYJ,W (5/9)
2079901,Jordan Wilkins,RB,TEN,W (5/9)
2242757,Frank Darby,WR,ATL,W (5/9)
2250853,Artavis Pierce,RB,CLE,W (5/9)
2088428,Kendrick Bourne,WR,NE,GF
2251110,Nate Stanley,QB,MIN,W (5/9)
2186416,Scotty Washington,TE,CIN,W (5/9)
2257897,Josh Hokit,RB,SF,W (5/9)
2247169,Briley Moore-McKinney,TE,TEN,W (5/9)
3159198,Tyler Mabry,TE,SEA,W (5/9)
1630750,Collin Klein,QB,FA,W (5/9)
2183906,Brycen Hopkins,TE,LAR,W (5/9)
2139040,Jordan Ellis,RB,CIN,W (5/9)
2930527,Jaeden Graham,TE,ATL,W (5/9)
3116830,Malik Henry,WR,NO,W (5/9)
3159152,Manasseh Bailey,WR,NYJ,W (5/9)
3172375,Dominique Dafney,TE,GB,W (5/9)
2060407,Wayne Gallman,RB,MIN,W (5/9)
2064670,Elijah McGuire,RB,KC,W (5/9)
2926809,Buddy Howell,RB,LAR,W (5/9)
2185711,Karan Higdon,RB,HOU,W (5/9)
2237671,JP Holtz,TE,NO,W (5/9)
2963615,Daniel Bellinger,TE,NYG,W (5/9)
2969119,Khalil Shakir,WR,BUF,W (5/9)
2260674,Ian Book,QB,NO,MCM
2968526,Rondale Moore,WR,ARI,CC
2870660,Jake Tonges,TE,CHI,W (5/9)
2240246,Jalen Hurts,QB,PHI,W (5/9)
2183832,Nyheim Hines,RB,IND,CC
2137507,Chase Edmonds,RB,MIA,CC
2139628,Will Dissly,TE,SEA,W (5/9)
2079834,Ralph Webb,RB,PIT,W (5/9)
2137911,Easton Stick,QB,LAC,W (5/9)
2243322,Jalen Camp,WR,HOU,W (5/9)
2866424,Tylan Wallace,WR,BAL,W (5/9)
2059362,Adam Thielen,WR,MIN,MWM
2174957,Raheem Mostert,RB,MIA,W (5/9)
2245150,Benny Snell,RB,PIT,W (5/9)
564943,Emmanuel Sanders,WR,BUF,AFL
2179289,Nathan Cottrell,RB,JAC,W (5/9)
2179483,Gary Jennings,WR,KC,W (5/9)
2185536,Steven Montez,QB,DET,W (5/9)
2247069,Cole Kelley,QB,WAS,W (5/9)
