TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
W (9/29),Mark Ingram,RB,NO,0.0,0,0,5.8,0.0,2,5.0,1.5,0,0,0.0,61,7.10,7.10
GF,James Conner,RB,ARI,0.0,0,0,3.6,0.0,4,8.2,13.0,1,0,50.0,51,7.10,7.10
FRR,Rhamondre Stevenson,RB,NE,0.0,0,0,5.2,0.0,2,5.7,4.0,0,0,0.0,51,7.10,7.10
W (9/29),Kyle Juszczyk,RB,SF,0.0,0,0,0.5,0.0,1,4.2,0.0,0,0,0.0,1,7.10,7.10
W (9/29),Zander Horvath,RB,LAC,0.0,0,0,0.0,0.0,2,4.2,1.0,0,0,100.0,1,7.10,7.10
W (9/29),Jake Kumerow,WR,BUF,0.0,0,0,0.0,0.0,3,7.5,25.0,1,0,100.0,50,7.00,7.00
AFL,Chris Olave,WR,NO,0.0,0,0,0.0,0.0,13,32.5,16.0,1,1,20.0,80,7.00,7.00
MCM,Hunter Renfrow,WR,LV,0.0,0,0,0.0,0.0,10,25.6,8.4,1,0,42.9,59,6.90,6.90
WLW,Dalvin Cook,RB,MIN,0.0,0,0,2.8,0.0,6,13.0,4.8,0,0,50.0,36,6.60,6.60
W (9/29),Harrison Bryant,TE,CLE,0.0,0,0,0.0,0.0,4,14.8,15.0,1,0,66.7,45,6.50,6.50
MAM,Melvin Gordon,RB,DEN,0.0,0,0,4.7,0.0,1,3.2,6.0,0,0,0.0,53,6.30,6.30
WLW,David Njoku,TE,CLE,0.0,0,0,0.0,0.0,5,18.5,10.7,0,0,100.0,32,6.20,6.20
W (9/29),Scott Miller,WR,TB,0.0,0,0,8.0,0.0,8,23.5,11.3,1,0,66.7,42,6.20,6.20
CC,Chase Edmonds,RB,MIA,0.0,0,0,6.6,1.0,3,6.0,8.0,0,0,0.0,41,6.10,6.10
FRR,Elijah Moore,WR,NYJ,0.0,0,0,-6.0,0.0,5,11.1,13.7,0,0,66.7,35,6.10,6.10
MWM,Dawson Knox,TE,BUF,0.0,0,0,0.0,0.0,5,12.5,10.2,0,0,50.0,41,6.10,6.10
MCM,Cordarrelle Patterson,RB,ATL,0.0,0,0,4.1,0.0,1,3.8,0.0,0,0,0.0,41,6.10,6.10
MWM,Geno Smith,QB,SEA,80.0,1,0,1.0,0.0,0,0.0,0.0,0,0,0.0,199,6.08,6.08
W (9/29),Juwan Johnson,TE,NO,0.0,0,0,0.0,0.0,7,17.5,10.0,1,0,50.0,40,6.00,6.00
AFL,Robert Woods,WR,TEN,0.0,0,0,0.0,0.0,5,20.8,9.8,0,0,50.0,39,5.90,5.90
W (9/29),Randall Cobb,WR,GB,0.0,0,0,0.0,0.0,3,12.0,12.3,1,0,66.7,37,5.70,5.70
AFL,Hassan Haskins,RB,TEN,0.0,0,0,4.1,0.0,1,4.2,0.0,0,0,0.0,37,5.70,5.70
W (9/29),David Sills,WR,NYG,0.0,0,0,0.0,0.0,4,11.8,12.3,1,0,66.7,37,5.70,5.70
MWM,DK Metcalf,WR,SEA,0.0,0,0,0.0,0.0,6,19.4,8.8,0,0,50.0,35,5.50,5.50
W (9/29),Tyrion Davis-Price,RB,SF,0.0,0,0,2.4,1.0,0,0.0,0.0,0,0,0.0,33,5.30,5.30
W (9/29),Marvin Jones,WR,JAC,0.0,0,0,0.0,0.0,5,16.7,11.0,0,0,66.7,33,5.30,5.30
GF,Isaiah Likely,TE,BAL,0.0,0,0,0.0,0.0,5,17.2,10.8,1,0,25.0,43,5.30,5.30
VD,Khalil Herbert,RB,CHI,0.0,0,0,9.5,1.0,1,9.1,3.0,0,0,0.0,41,5.10,5.10
W (9/29),Tyler Conklin,TE,NYJ,0.0,0,0,0.0,0.0,9,20.0,6.7,0,0,16.7,40,5.00,5.00
W (9/29),Foster Moreau,TE,LV,0.0,0,0,0.0,0.0,4,10.3,10.0,0,0,66.7,30,5.00,5.00
W (9/29),Craig Reynolds,RB,DET,0.0,0,0,5.3,0.0,1,2.9,13.0,0,0,100.0,29,4.90,4.90
W (9/29),Equanimeous St Brown,WR,CHI,0.0,0,0,0.0,0.0,4,36.4,19.5,1,0,50.0,39,4.90,4.90
CC,Nyheim Hines,RB,IND,0.0,0,0,0.0,0.0,5,16.7,9.2,0,0,25.0,37,4.70,4.70
WLW,Isaiah McKenzie,WR,BUF,0.0,0,0,0.0,0.0,3,7.5,18.5,1,0,50.0,37,4.70,4.70
W (9/29),AJ Green,WR,ARI,0.0,0,0,0.0,0.0,7,14.3,5.3,0,0,33.3,16,4.60,4.60
W (9/29),KJ Osborn,WR,MIN,0.0,0,0,0.0,0.0,2,4.3,12.5,0,0,100.0,25,4.50,4.50
W (9/29),Hayden Hurst,TE,CIN,0.0,0,0,0.0,0.0,7,19.4,4.8,0,0,40.0,24,4.40,4.40
W (9/29),Sterling Shepard,WR,NYG,0.0,0,0,0.0,0.0,10,29.4,5.7,0,0,16.7,34,4.40,4.40
W (9/29),Tanner Hudson,TE,NYG,0.0,0,0,0.0,0.0,3,8.8,11.0,0,0,100.0,22,4.20,4.20
NN,Tyler Allgeier,RB,ATL,0.0,0,0,3.0,0.0,0,0.0,0.0,0,0,0.0,30,4.00,4.00
CRB,Russell Gage,WR,TB,0.0,0,0,0.0,0.0,6,17.6,5.6,0,0,20.0,28,3.80,3.80
W (9/29),Dwayne Washington,RB,NO,0.0,0,0,4.5,0.0,0,0.0,0.0,0,0,0.0,18,3.80,3.80
W (9/29),Tyrie Cleveland,WR,DEN,0.0,0,0,0.0,0.0,3,9.7,14.0,0,0,50.0,28,3.80,3.80
W (9/29),Johnny Mundt,TE,MIN,0.0,0,0,0.0,0.0,3,6.5,14.0,0,0,50.0,28,3.80,3.80
MWM,Tyler Boyd,WR,CIN,0.0,0,0,0.0,0.0,2,5.6,8.5,0,0,0.0,17,3.70,3.70
GF,Kendrick Bourne,WR,NE,0.0,0,0,0.0,0.0,3,8.6,8.0,0,0,100.0,16,3.60,3.60
FRR,TJ Hockenson,TE,DET,0.0,0,0,0.0,0.0,7,20.6,8.7,0,0,33.3,26,3.60,3.60
W (9/29),Alec Ingold,RB,MIA,0.0,0,0,1.0,0.0,2,4.0,7.5,0,0,50.0,16,3.60,3.60
CC,Chase Claypool,WR,PIT,0.0,0,0,0.0,0.0,6,18.2,6.5,0,0,25.0,26,3.60,3.60
AFL,Trey Lance,QB,SF,66.7,1,0,4.3,0.0,0,0.0,0.0,0,0,0.0,43,3.50,3.50
W (9/29),Brock Wright,TE,DET,0.0,0,0,0.0,0.0,1,2.9,25.0,1,0,100.0,25,3.50,3.50
W (9/29),Pharaoh Brown,TE,HOU,0.0,0,0,0.0,0.0,5,13.2,8.0,0,0,33.3,24,3.40,3.40
W (9/29),Dezmon Patmon,WR,IND,0.0,0,0,0.0,0.0,6,20.0,12.0,0,0,50.0,24,3.40,3.40
W (9/29),Jalen Reagor,WR,MIN,0.0,0,0,17.0,0.0,2,4.3,7.0,0,0,0.0,24,3.40,3.40
CC,George Pickens,WR,PIT,0.0,0,0,0.0,0.0,2,6.1,23.0,1,0,100.0,23,3.30,3.30
W (9/29),Ameer Abdullah,RB,LV,0.0,0,0,0.0,0.0,1,2.6,23.0,1,0,100.0,23,3.30,3.30
W (9/29),Zay Jones,WR,JAC,0.0,0,0,0.0,0.0,4,13.3,7.7,0,0,33.3,23,3.30,3.30
W (9/29),Mike Strachan,WR,IND,0.0,0,0,0.0,0.0,3,10.0,23.0,1,0,100.0,23,3.30,3.30
W (9/29),Braxton Berrios,WR,NYJ,0.0,0,0,11.0,0.0,0,0.0,0.0,0,0,0.0,22,3.20,3.20
MWM,Jerry Jeudy,WR,DEN,0.0,0,0,1.0,0.0,3,9.7,11.0,0,0,100.0,12,3.20,3.20
MWM,Devin Singletary,RB,BUF,0.0,0,0,3.2,0.0,3,7.5,1.0,0,0,0.0,21,3.10,3.10
W (9/29),Boston Scott,RB,PHI,0.0,0,0,4.8,0.0,1,3.2,2.0,0,0,0.0,21,3.10,3.10
W (9/29),Kendall Hinton,WR,DEN,0.0,0,0,0.0,0.0,1,3.2,20.0,1,0,100.0,20,3.00,3.00
W (9/29),Austin Hooper,TE,TEN,0.0,0,0,0.0,0.0,5,20.8,19.0,0,0,100.0,19,2.90,2.90
MCM,Kyle Pitts,TE,ATL,0.0,0,0,0.0,0.0,3,11.5,9.5,0,0,50.0,19,2.90,2.90
W (9/29),Ryan Griffin,TE,CHI,0.0,0,0,0.0,0.0,1,9.1,18.0,0,0,100.0,18,2.80,2.80
CC,Kenneth Gainwell,RB,PHI,0.0,0,0,3.5,0.0,2,6.5,11.0,0,0,0.0,18,2.80,2.80
W (9/29),Jeff Smith,WR,NYJ,0.0,0,0,0.0,0.0,1,2.2,17.0,0,0,100.0,17,2.70,2.70
CRB,Zack Moss,RB,BUF,0.0,0,0,5.7,0.0,1,2.5,0.0,0,0,0.0,17,2.70,2.70
CRB,Romeo Doubs,WR,GB,0.0,0,0,0.0,0.0,3,12.0,13.5,1,0,0.0,27,2.70,2.70
W (9/29),Giovanni Ricci,TE,CAR,0.0,0,0,0.0,0.0,1,3.4,16.0,0,0,100.0,16,2.60,2.60
W (9/29),Justice Hill,RB,BAL,0.0,0,0,5.3,0.0,0,0.0,0.0,0,0,0.0,16,2.60,2.60
W (9/29),Ray-Ray McCloud,WR,SF,0.0,0,0,0.0,0.0,2,8.3,16.0,0,0,100.0,16,2.60,2.60
W (9/29),Jamison Crowder,WR,BUF,0.0,0,0,0.0,0.0,2,5.0,16.0,0,0,100.0,16,2.60,2.60
W (9/29),Jarvis Landry,WR,NO,0.0,0,0,0.0,0.0,5,12.5,6.2,0,0,0.0,25,2.50,2.50
W (9/29),Jaylen Warren,RB,PIT,0.0,0,0,3.8,0.0,1,3.0,0.0,0,0,0.0,15,2.50,2.50
W (9/29),Joshua Kelley,RB,LAC,0.0,0,0,5.5,0.0,2,4.2,3.0,0,0,0.0,25,2.50,2.50
MCM,Alexander Mattison,RB,MIN,0.0,0,0,4.0,0.0,5,10.9,2.0,0,0,33.3,14,2.40,2.40
W (9/29),Gary Brightwell,RB,NYG,0.0,0,0,14.0,0.0,0,0.0,0.0,0,0,0.0,14,2.40,2.40
W (9/29),Zach Pascal,WR,PHI,0.0,0,0,0.0,0.0,2,6.5,7.0,0,0,50.0,14,2.40,2.40
MCM,Taysom Hill,TE,NO,0.0,0,0,4.7,0.0,0,0.0,0.0,0,0,0.0,14,2.40,2.40
W (9/29),Stephen Sullivan,TE,CAR,0.0,0,0,0.0,0.0,1,3.4,13.0,0,0,100.0,13,2.30,2.30
W (9/29),Ian Thomas,TE,CAR,0.0,0,0,0.0,0.0,3,10.3,13.0,0,0,100.0,13,2.30,2.30
W (9/29),Noah Gray,TE,KC,0.0,0,0,0.0,0.0,3,8.6,6.0,0,0,50.0,12,2.20,2.20
W (9/29),Andre Baccellia,WR,ARI,0.0,0,0,0.0,0.0,2,4.1,6.0,0,0,50.0,12,2.20,2.20
GF,Robbie Anderson,WR,CAR,0.0,0,0,0.0,0.0,5,17.2,10.7,0,0,33.3,32,2.20,2.20
W (9/29),Tony Jones,RB,NO,0.0,0,0,4.0,0.0,2,5.0,6.0,0,0,0.0,20,2.00,2.00
W (9/29),Jeff Driskel,QB,HOU,0.0,0,0,10.0,0.0,0,0.0,0.0,0,0,0.0,10,2.00,2.00
