League,Season,Pos,Player,Salary
TRUFFLE,2025,TE,George Kittle,36
TRUFFLE,2025,TE,Kyle Pitts,30
TRUFFLE,2025,TE,David Njoku,17
KERFUFFLE,2025,QB,Lamar Jackson,201
KERFUFFLE,2025,QB,Patrick Mahomes,200
KERFUFFLE,2025,QB,Josh Allen,199
KERFUFFLE,2025,QB,Jalen Hurts,180
KERFUFFLE,2025,QB,Anthony Richardson,161
KERFUFFLE,2025,RB,Breece Hall,145
KERFUFFLE,2025,RB,Bijan Robinson,143
KERFUFFLE,2025,RB,Saquon Barkley,131
KERFUFFLE,2025,RB,Christian McCaffrey,102
KERFUFFLE,2025,RB,Jahmyr Gibbs,102
KERFUFFLE,2025,WR,CeeDee Lamb,126
KERFUFFLE,2025,WR,Justin Jefferson,111
KERFUFFLE,2025,WR,Tyreek Hill,105
KERFUFFLE,2025,WR,Amon-Ra St Brown,93
KERFUFFLE,2025,WR,Puka Nacua,85
KERFUFFLE,2025,TE,Sam LaPorta,66
KERFUFFLE,2025,TE,Dalton Kincaid,50
KERFUFFLE,2025,TE,Travis Kelce,47
KERFUFFLE,2025,TE,Mark Andrews,32
KERFUFFLE,2025,TE,George Kittle,25
