Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Donovan Peoples-Jones ,WR,CLE,83,78,88,84,88,-,-,-,-,-,-,-,-,-,-,-,-,-,301,84
Dontrell Hilliard ,RB,TEN,18,0,24,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,63,26
Drake London ,WR,ATL,72,82,84,80,67,-,-,-,-,-,-,-,-,-,-,-,-,-,240,76
Drew Sample ,TE,CIN,29,14,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,39,23
Durham Smythe ,TE,MIA,63,49,74,63,49,-,-,-,-,-,-,-,-,-,-,-,-,-,178,58
Dwayne Washington ,RB,NO,0,6,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4
Dyami Brown ,WR,WAS,0,0,16,28,32,-,-,-,-,-,-,-,-,-,-,-,-,-,53,25
Elijah Mitchell ,RB,SF,25,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,17,25
Elijah Moore ,WR,NYJ,89,87,94,90,66,-,-,-,-,-,-,-,-,-,-,-,-,-,311,86
Eno Benjamin ,RB,ARI,34,42,27,14,54,-,-,-,-,-,-,-,-,-,-,-,-,-,129,34
Equanimeous St Brown ,WR,CHI,76,71,86,95,62,-,-,-,-,-,-,-,-,-,-,-,-,-,217,79
Eric Saubert ,TE,DEN,27,36,47,77,56,-,-,-,-,-,-,-,-,-,-,-,-,-,161,48
Eric Tomlinson ,TE,DEN,30,0,0,0,48,-,-,-,-,-,-,-,-,-,-,-,-,-,55,40
Evan Engram ,TE,JAC,71,69,76,74,75,-,-,-,-,-,-,-,-,-,-,-,-,-,248,73
Ezekiel Elliott ,RB,DAL,58,67,64,64,65,-,-,-,-,-,-,-,-,-,-,-,-,-,197,64
Feleipe Franks ,QB,ATL,0,0,0,0,45,-,-,-,-,-,-,-,-,-,-,-,-,-,30,45
Foster Moreau ,TE,LV,0,61,50,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,76,55
Gabe Davis ,WR,BUF,98,0,96,98,84,-,-,-,-,-,-,-,-,-,-,-,-,-,256,94
Garrett Wilson ,WR,NYJ,49,61,63,77,56,-,-,-,-,-,-,-,-,-,-,-,-,-,220,61
Gary Brightwell ,RB,NYG,0,1,0,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,11,6
