SznWkPlPos,SznPlPos,PlPos,Season,Week,sunDate,Player,Pos,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,FPts,PosRk,PPFD,PPR,hPPR,STD,Pa20,Pa40,Ru20,Re20,Re40,TmTar,TotYd,ScrimYd,PaRuYd
2026_1_BlayneTaylor_WR,2026_BlayneTaylor_WR,BlayneTaylor_WR,2026,1,2026-09-13,Blayne Taylor,WR,IND,BAL,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_MalikDavis_RB,2026_MalikDavis_RB,MalikDavis_RB,2026,1,2026-09-13,Malik Davis,RB,DAL,@NYG,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_N'KealHarry_TE,2026_N'KealHarry_TE,N'KealHarry_TE,2026,1,2026-09-13,N'Keal Harry,TE,SEA,NE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_CamRoss_WR,2026_CamRoss_WR,CamRoss_WR,2026,1,2026-09-13,Cam Ross,WR,DEN,@KC,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_SamPitz_TE,2026_SamPitz_TE,SamPitz_TE,2026,1,2026-09-13,Sam Pitz,TE,BAL,@IND,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_Dy'ShawnMobley_RB,2026_Dy'ShawnMobley_RB,Dy'ShawnMobley_RB,2026,1,2026-09-13,Dy'Shawn Mobley,RB,CIN,TB,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ElijahArroyo_TE,2026_ElijahArroyo_TE,ElijahArroyo_TE,2026,1,2026-09-13,Elijah Arroyo,TE,SEA,NE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ShaleakKnotts_WR,2026_ShaleakKnotts_WR,ShaleakKnotts_WR,2026,1,2026-09-13,Shaleak Knotts,WR,MIN,GB,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TylerGaffney_RB,2026_TylerGaffney_RB,TylerGaffney_RB,2026,1,2026-09-13,Tyler Gaffney,RB,NE,@SEA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JohnJackson_WR,2026_JohnJackson_WR,JohnJackson_WR,2026,1,2026-09-13,John Jackson,WR,CHI,@CAR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_AntonioWilliams_WR,2026_AntonioWilliams_WR,AntonioWilliams_WR,2026,1,2026-09-13,Antonio Williams,WR,WAS,@PHI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_ColbyParkinson_TE,2026_ColbyParkinson_TE,ColbyParkinson_TE,2026,1,2026-09-13,Colby Parkinson,TE,LAR,SF,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TeaganQuitoriano_TE,2026_TeaganQuitoriano_TE,TeaganQuitoriano_TE,2026,1,2026-09-13,Teagan Quitoriano,TE,ARI,@LAC,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_DJWilliams_RB,2026_DJWilliams_RB,DJWilliams_RB,2026,1,2026-09-13,DJ Williams,RB,TB,@CIN,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_MalikMcClain_WR,2026_MalikMcClain_WR,MalikMcClain_WR,2026,1,2026-09-13,Malik McClain,WR,NYJ,@TEN,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_AdrianMartinez_QB,2026_AdrianMartinez_QB,AdrianMartinez_QB,2026,1,2026-09-13,Adrian Martinez,QB,SF,@LAR,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_BenVanSumeren_RB,2026_BenVanSumeren_RB,BenVanSumeren_RB,2026,1,2026-09-13,Ben VanSumeren,RB,BUF,@HOU,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
