playerID,Player,Pos,NFL
2964419,Blake Whiteheart,TE,CLE
28914781,Blayne Taylor,WR,IND
3121193,Bo Nix,QB,DEN
1840609,Bobo Beathard,WR,ARI
26696036,Brady Boyd,WR,JAC
3163207,Brady Cook,QB,NYJ
2866240,Brady Russell,RB,SEA
26726580,Braelon Allen,RB,NYJ
2256707,Branden Mack,WR,DEN
1880880,Brandin Cooks,WR,BUF
2967489,Brandon Aiyuk,WR,SF
1852876,Brandon Allen,QB,NYG
1776297,Brandon Bridge,QB,FA
3170373,Brandon Hayes,WR,PHI
2245903,Brandon Johnson,RB,PIT
2247509,Brandon Johnson,WR,LV
3044909,Brandon Lewis,WR,TEN
2239738,Brandon Peters,QB,LAC
2926490,Brandon Powell,WR,MIN
2865783,Brandon Smith,WR,PIT
26694196,Brashard Smith,RB,KC
2130981,Braxton Berrios,WR,NYG
2815157,Braxton Burmeister,WR,LAR
2240959,Braxton Westfield,WR,IND
28867632,Brayden Lenius,TE,ATL
2963088,Brayden Willis,TE,SF
2864986,Braydon Johnson,WR,BUF
2869933,Braylon Sanders,WR,WAS
3123469,Breece Hall,RB,NYJ
2130622,Brelan Chancellor,WR,PIT
2963924,Brenden Bates,TE,CLE
2864720,Brenden Knox,RB,KC
3166803,Brenden Rice,WR,GB
28909756,Brenen Thompson,WR,LAC
2965527,Brennan Eagles,WR,DAL
3169136,Brennan Presley,WR,LAR
3121696,Brenton Strange,TE,JAC
3123271,Brett Gabbert,QB,MIA
2181392,Brett Rypien,QB,MIN
28887494,Brevin Easton,WR,JAC
2964787,Brevin Jordan,TE,HOU
2961760,Brevyn Spann-Ford,TE,DAL
2961430,Brian Cobbs,WR,ARI
2186429,Brian Lewerke,QB,NYG
2741207,Brian Robinson,RB,ATL
3132164,Brian Thomas,WR,JAC
29113614,Brian Walker,TE,BAL
2247169,Briley Moore-McKinney,TE,TEN
2185571,Britain Covey,WR,PHI
2961993,British Brooks,RB,HOU
2249805,Brittain Brown,RB,CHI
26693971,Brock Bowers,TE,LV
26701144,Brock Lampe,RB,NE
2961306,Brock Purdy,QB,SF
26725349,Brock Rechsteiner,WR,NO
2807423,Brock Wright,TE,DET
1909,Broncos,DST,DEN
1930,Browns,DST,CLE
2190739,Bruce Anderson,RB,IND
2240557,Bruno Labelle,TE,ARI
2827539,Bryan Thompson,WR,BUF
2803780,Bryant Koback,RB,SEA
3103642,Bryant Mitchell,WR,TB
2963723,Bryce Ford-Wheaton,WR,NYG
26725855,Bryce Lance,WR,NO
2186835,Bryce Love,RB,WAS
2967309,Bryce Oliver,WR,TEN
3159114,Bryce Perkins,QB,CAR
28877722,Bryce Pierre,TE,CAR
3161957,Bryce Young,QB,CAR
2967463,Brycen Tremayne,WR,CAR
26696745,Bryson Green,WR,ARI
26695112,Bryson Nesbit,TE,MIN
