Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj,League
TE,PP,Travis Kelce,KC,DEN,Mon  8:15pm ET,5,42.5,10,18,90%,57%,24.0,1,162.2,160.3,119.37,KERFUFFLE
WR,PP,Jordan Addison,MIN,GB,Sun  4:25pm ET,6,45.5,38,21,83%,31%,5.0,2,121.1,165.7,123.19,KERFUFFLE
WR,PP,Jayden Higgins,HOU,BUF,Sun  1:00pm ET,8,44.5,56,13,71%,30%,5.0,2,116.5,115.0,90.58,KERFUFFLE
WR,PP,Makai Lemon,PHI,WAS,Sun  4:25pm ET,10,47.5,51,28,4%,1%,25.0,3,0.0,0.0,98.23,KERFUFFLE
DST,PP,Cowboys,DAL,@NYG,Sun  8:20pm ET,14,48.5,16,21,56%,36%,2.0,1,63.0,115.0,92.6,KERFUFFLE
QB,PP,Riley Leonard,IND,BAL,Sun  1:00pm ET,13,49.5,---,21,2%,1%,15.0,1,33.3,28.04,13.58,KERFUFFLE
RB,PP,Kaytron Allen,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,26,3%,1%,3.0,3,0.0,0.0,27.31,KERFUFFLE
WR,PP,Denzel Boston,CLE,@JAC,Sun  1:00pm ET,11,40.5,55,15,3%,1%,5.0,3,0.0,0.0,73.78,KERFUFFLE
TE,PP,Isaiah Likely,NYG,DAL,Sun  8:20pm ET,8,48.5,9,13,34%,13%,7.0,1,45.7,77.4,126.62,KERFUFFLE
WR,PP,Calvin Ridley,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,19,16%,1%,4.0,2,43.3,137.8,111.68,KERFUFFLE
RB,PP,Emanuel Wilson,SEA,NE,Wed  8:20pm ET,11,44.5,---,2,59%,6%,10.0,1,117.1,73.5,77.91,KERFUFFLE
RB,PP,MarShawn Lloyd,GB,@MIN,Sun  4:25pm ET,11,45.5,49,15,8%,1%,15.0,1,0.0,0.0,23.0,KERFUFFLE
QB,PP,JJ McCarthy,MIN,GB,Sun  4:25pm ET,6,45.5,---,10,35%,6%,35.0,1,137.38,131.12,13.05,KERFUFFLE
QB,PP,Jalen Milroe,SEA,NE,Wed  8:20pm ET,11,44.5,---,5,4%,1%,5.0,2,-1.6,-2.0,12.48,KERFUFFLE
RB,PP,Jaydon Blue,DAL,@NYG,Sun  8:20pm ET,14,48.5,---,28,17%,3%,3.0,2,26.4,22.5,21.4,KERFUFFLE
QB,RR,Baker Mayfield,TB,@CIN,Sun  1:00pm ET,10,52.5,21,27,93%,58%,9.0,1,298.92,329.12,291.73,KERFUFFLE
RB,RR,Breece Hall,NYJ,@TEN,Sun  1:00pm ET,13,38.5,15,13,98%,66%,66.0,1,241.66,259.92,203.07,KERFUFFLE
RB,RR,Christian McCaffrey,SF,@LAR,Thu  8:35pm ET,8,48.5,4,10,100%,94%,102.0,1,433.6,303.4,244.46,KERFUFFLE
WR,RR,Davante Adams,LAR,SF,Thu  8:35pm ET,11,48.5,25,16,95%,39%,16.0,1,213.9,211.1,145.3,KERFUFFLE
WR,RR,George Pickens,DAL,@NYG,Sun  8:20pm ET,14,48.5,9,23,99%,95%,23.0,1,271.9,205.5,198.0,KERFUFFLE
TE,RR,Kyle Pitts,ATL,@PIT,Sun  1:00pm ET,11,41.5,7,26,95%,74%,2.0,1,173.8,133.1,134.0,KERFUFFLE
RB,RR,Woody Marks,HOU,BUF,Sun  1:00pm ET,8,44.5,44,25,94%,37%,3.0,2,173.6,171.6,107.18,KERFUFFLE
WR,RR,Michael Wilson,ARI,@LAC,Sun  4:25pm ET,14,46.5,41,3,93%,76%,2.0,1,193.6,138.0,117.67,KERFUFFLE
QB,RR,Tyler Shough,NO,@DET,Sun  1:00pm ET,8,49.5,17,22,48%,20%,3.0,2,169.26,161.88,276.82,KERFUFFLE
DST,RR,Patriots,NE,@SEA,Wed  8:20pm ET,11,44.5,7,5,86%,56%,1.0,1,150.0,115.0,125.8,KERFUFFLE
QB,RR,Michael Penix,ATL,@PIT,Sun  1:00pm ET,11,41.5,---,24,15%,1%,5.0,1,125.48,77.86,40.23,KERFUFFLE
RB,RR,Kaleb Johnson,PIT,ATL,Sun  1:00pm ET,9,41.5,---,16,13%,1%,15.0,2,10.0,5.3,12.5,KERFUFFLE
WR,RR,Zachariah Branch,ATL,@PIT,Sun  1:00pm ET,11,41.5,---,26,3%,1%,5.0,3,0.0,0.0,58.67,KERFUFFLE
WR,RR,Bryce Lance,NO,@DET,Sun  1:00pm ET,8,49.5,---,30,1%,1%,3.0,3,0.0,0.0,23.02,KERFUFFLE
WR,RR,Jalen McMillan,TB,@CIN,Sun  1:00pm ET,10,52.5,---,9,10%,2%,3.0,1,25.9,70.7,89.63,KERFUFFLE
TE,RR,Oronde Gadsden,LAC,ARI,Sun  4:25pm ET,7,46.5,21,31,62%,18%,2.0,1,110.4,109.1,84.1,KERFUFFLE
TE,RR,Tyler Warren,IND,BAL,Sun  1:00pm ET,13,49.5,4,8,95%,59%,5.0,2,157.5,159.9,135.57,KERFUFFLE
RB,RR,Michael Carter,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,32,59%,28%,5.0,1,97.0,52.6,12.2,KERFUFFLE
WR,RR,Tyreek Hill,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,17%,1%,1.0,1,49.5,193.2,0.0,KERFUFFLE
QB,SBS,Jayden Daniels,WAS,@PHI,Sun  4:25pm ET,7,47.5,5,11,66%,15%,40.0,1,128.28,260.82,318.56,KERFUFFLE
RB,SBS,Emmett Johnson,KC,DEN,Mon  8:15pm ET,5,42.5,---,3,3%,1%,3.0,3,0.0,0.0,22.41,KERFUFFLE
RB,SBS,Jonathan Taylor,IND,BAL,Sun  1:00pm ET,13,49.5,3,17,100%,98%,116.0,1,415.3,293.4,290.17,KERFUFFLE
WR,SBS,Christian Kirk,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,20%,4%,5.0,2,42.2,74.5,87.03,KERFUFFLE
WR,SBS,Jaylin Noel,HOU,BUF,Sun  1:00pm ET,8,44.5,---,13,5%,1%,3.0,2,55.9,57.2,50.28,KERFUFFLE
TE,SBS,Mason Taylor,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,21,17%,3%,3.0,2,67.9,65.2,70.01,KERFUFFLE
TE,SBS,Colby Parkinson,LAR,SF,Thu  8:35pm ET,11,48.5,31,22,51%,27%,1.0,1,111.4,71.4,81.79,KERFUFFLE
WR,SBS,Christian Watson,GB,@MIN,Sun  4:25pm ET,11,45.5,27,1,87%,34%,17.0,2,125.4,100.7,136.53,KERFUFFLE
QB,SBS,Lamar Jackson,BAL,@IND,Sun  1:00pm ET,13,49.5,2,20,94%,54%,201.0,2,238.86,365.78,315.13,KERFUFFLE
WR,SBS,Germie Bernard,PIT,ATL,Sun  1:00pm ET,9,41.5,---,22,3%,1%,5.0,3,0.0,0.0,68.68,KERFUFFLE
WR,SBS,Omar Cooper,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,29,3%,1%,15.0,3,0.0,0.0,84.62,KERFUFFLE
WR,SBS,Wan'Dale Robinson,TEN,NYJ,Sun  1:00pm ET,9,38.5,53,19,89%,48%,1.0,1,165.9,133.8,121.85,KERFUFFLE
RB,SBS,TreVeyon Henderson,NE,@SEA,Wed  8:20pm ET,11,44.5,26,4,99%,59%,20.0,2,223.2,222.2,165.92,KERFUFFLE
RB,SBS,Kyle Monangai,CHI,@CAR,Sun  1:00pm ET,10,45.5,37,23,88%,28%,1.0,1,175.7,174.5,131.71,KERFUFFLE
WR,SBS,Alec Pierce,IND,BAL,Sun  1:00pm ET,13,49.5,34,25,79%,35%,1.0,1,177.3,138.8,164.77,KERFUFFLE
RB,SBS,Dylan Sampson,CLE,@JAC,Sun  1:00pm ET,11,40.5,47,1,29%,7%,3.0,2,75.6,71.7,83.88,KERFUFFLE
WR,SBS,Troy Franklin,DEN,@KC,Mon  8:15pm ET,10,42.5,---,6,76%,31%,3.0,1,146.5,101.9,93.56,KERFUFFLE
QB,SBS,Philip Rivers,IND,BAL,Sun  1:00pm ET,13,49.5,---,21,8%,3%,4.0,1,31.76,29.52,0.0,KERFUFFLE
WR,SBS,Deebo Samuel,SF,@LAR,Thu  8:35pm ET,8,48.5,49,24,88%,47%,51.0,1,152.6,166.7,111.35,KERFUFFLE
