Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+.1,Tar,TarPct,Avg.1,20+.2,40+.1,1Std Pct,Total,Avg.2,Total.1
2022,1,FRR,Tyler Higbee,TE,LAR,0.0,0,0,0.0,0.0,11,26.8,7.8,0,0,80.0,39,7.90,7.9
2022,1,FRR,Elijah Moore,WR,NYJ,0.0,0,0,0.0,0.0,7,11.9,9.8,1,0,60.0,49,7.90,7.9
2022,1,W (10/6),Hayden Hurst,TE,CIN,0.0,0,0,0.0,0.0,8,15.1,9.2,1,0,60.0,46,7.60,7.6
2022,1,W (10/2),Kyle Philips,WR,TEN,0.0,0,0,0.0,0.0,9,27.3,11.0,2,0,50.0,66,7.60,7.6
2022,1,VD,Diontae Johnson,WR,PIT,0.0,0,0,0.0,0.0,12,31.6,7.9,1,0,28.6,55,7.50,7.5
2022,1,NN,Treylon Burks,WR,TEN,0.0,0,0,0.0,0.0,5,15.2,18.3,2,0,66.7,55,7.50,7.5
2022,1,NN,Marquez Valdes-Scantling,WR,KC,0.0,0,0,-3.0,0.0,4,10.3,11.0,0,0,75.0,41,7.40,7.4
2022,1,W (10/2),Ian Thomas,TE,CAR,0.0,0,0,0.0,0.0,3,11.1,26.5,1,1,100.0,53,7.30,7.3
2022,1,MAM,Melvin Gordon,RB,DEN,0.0,0,0,4.8,0.0,2,4.8,7.0,0,0,0.0,72,7.20,7.2
2022,1,MAM,Garrett Wilson,WR,NYJ,0.0,0,0,0.0,0.0,8,13.6,13.0,0,0,50.0,52,7.20,7.2
2022,1,W (10/2),Andrew Beck,TE,DEN,0.0,0,0,0.0,0.0,3,7.1,26.0,2,0,100.0,52,7.20,7.2
2022,1,W (10/2),Jody Fortson,TE,KC,0.0,0,0,0.0,0.0,1,2.6,1.0,0,0,100.0,1,7.10,7.1
2022,1,CRB,Breece Hall,RB,NYJ,0.0,0,0,3.8,0.0,9,15.3,6.3,0,0,33.3,61,7.10,7.1
2022,1,W (10/2),Chris Myarick,TE,NYG,0.0,0,0,0.0,0.0,1,4.8,1.0,0,0,100.0,1,7.10,7.1
2022,1,WLW,DJ Moore,WR,CAR,0.0,0,0,7.0,0.0,6,22.2,14.3,1,0,66.7,50,7.00,7.0
2022,1,W (10/2),Jerick McKinnon,RB,KC,0.0,0,0,5.5,0.0,4,10.3,9.0,0,0,33.3,49,6.90,6.9
2022,1,W (10/2),Marvin Jones,WR,JAC,0.0,0,0,0.0,0.0,6,14.3,9.5,0,0,75.0,38,6.80,6.8
2022,1,FRR,TJ Hockenson,TE,DET,0.0,0,0,0.0,0.0,7,18.9,9.5,0,0,75.0,38,6.80,6.8
2022,1,MWM,JD McKissic,RB,WAS,0.0,0,0,2.7,0.0,3,7.3,6.7,0,0,33.3,28,6.80,6.8
2022,1,CRB,Romeo Doubs,WR,GB,0.0,0,0,11.0,0.0,5,12.8,9.2,1,0,25.0,48,6.80,6.8
2022,1,W (10/2),Parris Campbell,WR,IND,0.0,0,0,0.0,0.0,4,8.0,12.3,1,0,100.0,37,6.70,6.7
2022,1,W (10/2),Kenyan Drake,RB,BAL,0.0,0,0,2.8,0.0,1,3.3,15.0,0,0,100.0,46,6.60,6.6
2022,1,CC,Alvin Kamara,RB,NO,0.0,0,0,4.3,0.0,4,11.8,2.3,0,0,33.3,46,6.60,6.6
2022,1,W (10/2),Ashton Dulin,WR,IND,0.0,0,0,0.0,0.0,6,12.0,15.3,1,0,66.7,46,6.60,6.6
2022,1,AFL,Logan Thomas,TE,WAS,0.0,0,0,0.0,0.0,6,14.6,15.0,1,0,66.7,45,6.50,6.5
2022,1,W (10/2),Joshua Kelley,RB,LAC,0.0,0,0,5.2,0.0,2,5.9,7.0,0,0,50.0,35,6.50,6.5
2022,1,AFL,Raheem Mostert,RB,MIA,0.0,0,0,3.2,0.0,1,3.0,16.0,0,0,100.0,32,6.20,6.2
2022,1,CRB,Elijah Mitchell,RB,SF,0.0,0,0,6.8,0.0,0,0.0,0.0,0,0,0.0,41,6.10,6.1
