Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2025,7,MCM,RB,Kyren Williams,LAR,@JAC,8,0,0,0,0,0,12,54,0,3,3,2,11,0,1,0,10.50,10.50
2025,7,MCM,QB,Mac Jones,SF,ATL,3,17,26,152,0,1,5,11,0,2,0,0,0,0,0,0,7.18,7.18
2025,7,MCM,WR,Jauan Jennings,SF,ATL,2,0,0,0,0,0,0,0,0,0,7,4,31,0,2,0,5.10,5.10
2025,7,MCM,WR,Tyquan Thornton,KC,LV,28,0,0,0,0,0,0,0,0,0,2,1,39,0,1,0,4.90,4.90
2025,7,MCM,RB,Kimani Vidal,LAC,IND,6,0,0,0,0,0,9,20,0,0,5,4,15,0,1,0,4.50,4.50
2025,7,MCM,TE,Colston Loveland,CHI,NO,20,0,0,0,0,0,0,0,0,0,4,3,24,0,2,0,4.40,4.40
2025,7,MCM,QB,Geno Smith,LV,@KC,11,10,16,67,0,0,2,1,0,0,0,0,0,0,0,0,2.78,2.78
2025,7,MCM,RB,Kenneth Gainwell,PIT,@CIN,32,0,0,0,0,0,3,14,0,1,2,2,1,0,0,0,2.50,2.50
2025,7,MCM,TE,AJ Barner,SEA,HOU,5,0,0,0,0,0,1,2,0,1,3,1,7,0,0,0,1.90,1.90
2025,7,MCM,WR,Puka Nacua,LAR,@JAC,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MCM,QB,Shedeur Sanders,CLE,MIA,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MCM,WR,Tutu Atwell,LAR,@JAC,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2025,7,MCM,RB,James Conner,ARI,GB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MCM,WR,Khalil Shakir,BUF,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MCM,RB,Derrick Henry,BAL,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MCM,WR,Jakobi Meyers,LV,@KC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MCM,DST,Browns,CLE,MIA,30,,,,,,,,,,,,,,,,30.00,30.00
2025,7,MWM,QB,Jalen Hurts,PHI,@MIN,6,19,23,326,3,0,4,-10,0,1,0,0,0,0,0,0,26.04,26.04
2025,7,MWM,RB,Cam Skattebo,NYG,@DEN,11,0,0,0,0,0,16,60,0,3,6,3,34,1,2,0,20.40,20.40
2025,7,MWM,QB,Cam Ward,TEN,NE,8,25,34,255,1,1,0,0,0,0,0,0,0,0,0,1,10.20,10.20
2025,7,MWM,TE,Terrance Ferguson,LAR,@JAC,19,0,0,0,0,0,0,0,0,0,3,1,31,1,1,0,10.10,10.10
2025,7,MWM,WR,Stefon Diggs,NE,@TEN,22,0,0,0,0,0,0,0,0,0,7,7,69,0,3,0,9.90,9.90
2025,7,MWM,WR,Darnell Mooney,ATL,@SF,9,0,0,0,0,0,0,0,0,0,5,3,68,0,3,0,9.80,9.80
2025,7,MWM,WR,Rashid Shaheed,NO,@CHI,25,0,0,0,0,0,0,0,0,0,9,4,40,0,3,0,7.00,7.00
2025,7,MWM,RB,Kareem Hunt,KC,LV,20,0,0,0,0,0,4,18,0,3,0,0,0,0,0,0,4.80,4.80
2025,7,MWM,WR,Jaylen Waddle,MIA,@CLE,11,0,0,0,0,0,0,0,0,0,4,1,15,0,1,0,2.50,2.50
2025,7,MWM,"QB,TE",Taysom Hill,NO,@CHI,12,0,0,0,0,0,2,-4,0,1,2,2,12,0,0,0,2.20,2.20
