Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
WR,LC,Xavier Worthy,KC,BAL,Thu  8:20pm ET,6,46,38,2,95%,21%,15,3,21.80,21.80,6.21
TE,LC,Dalton Schultz,HOU,@IND,Sun  1:00pm ET,14,47.5,15,27,80%,31%,3,2,1.60,1.60,6.41
WR,LC,DK Metcalf,SEA,DEN,Sun  4:05pm ET,10,42.5,15,15,100%,93%,31,4,4.90,4.90,9.82
WR,LC,Rashid Shaheed,NO,CAR,Sun  1:00pm ET,12,41.5,44,3,47%,6%,1,3,15.30,15.30,7.81
QB,LC,Patrick Mahomes,KC,BAL,Thu  8:20pm ET,6,46,3,2,100%,95%,200,2,15.14,15.14,16.79
DST,LC,49ers,SF,NYJ,Mon  8:15pm ET,9,43.5,2,28,100%,95%,1,3,0.00,0.00,10.50
TE,LC,Ben Sinnott,WAS,@TB,Sun  4:25pm ET,14,42,---,31,21%,1%,3,3,0.00,0.00,3.90
WR,LC,DeAndre Hopkins,TEN,@CHI,Sun  1:00pm ET,5,43,47,13,92%,11%,11,2,0.80,0.80,6.61
RB,LC,Zach Charbonnet,SEA,DEN,Sun  4:05pm ET,10,42.5,---,30,56%,1%,4,4,11.10,11.10,5.30
RB,LC,Clyde Edwards-Helaire,KC,BAL,Thu  8:20pm ET,6,46,---,9,19%,1%,1,2,0.00,0.00,0.00
TE,LC,Hunter Henry,NE,@CIN,Sun  1:00pm ET,14,41,17,30,30%,4%,1,2,2.80,2.80,4.51
TE,LC,Juwan Johnson,NO,CAR,Sun  1:00pm ET,12,41.5,18,10,16%,3%,1,2,9.60,9.60,5.61
QB,LC,Gardner Minshew,LV,@LAC,Sun  4:05pm ET,10,40.5,---,27,13%,1%,1,2,10.78,10.78,10.81
TE,LC,Jonnu Smith,MIA,JAC,Sun  1:00pm ET,6,49.5,---,22,20%,3%,1,2,0.70,0.70,4.31
RB,LC,Jaylen Warren,PIT,@ATL,Sun  1:00pm ET,9,42.5,37,6,93%,8%,11,4,3.00,3.00,6.30
