Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
WR,CC,Javon Baker,NE,@CIN,Sun  1:00pm ET,14,41,---,25,3%,1%,3,3,0.00,0.00,0.00
WR,CC,Malachi Corley,NYJ,@SF,Mon  8:15pm ET,12,43.5,---,20,7%,1%,3,3,0.00,0.00,3.10
WR,CC,Quentin Johnston,LAC,LV,Sun  4:05pm ET,5,40.5,---,11,14%,1%,20,2,4.80,4.80,4.81
WR,CC,Ricky Pearsall,SF,NYJ,Mon  8:15pm ET,9,43.5,---,1,11%,1%,5,3,0.00,0.00,0.00
WR,CC,Ja'Lynn Polk,NE,@CIN,Sun  1:00pm ET,14,41,---,25,40%,2%,3,3,0.60,0.60,6.41
WR,CC,Brian Thomas,JAC,@MIA,Sun  1:00pm ET,12,49.5,43,19,85%,15%,10,3,13.70,13.70,7.41
DC,CC,Antonio Gibson Dead Cap,NE,@CIN,Sun  1:00pm ET,14,41,---,20,0%,0%,5,1,0.00,0.00,0.00
QB,CRB,Jalen Hurts,PHI,GB,Fri  8:15pm ET,5,49.5,2,16,100%,99%,101,1,18.42,18.42,22.47
RB,CRB,Josh Jacobs,GB,@PHI,Fri  8:15pm ET,10,49.5,5,10,100%,97%,107,1,15.40,15.40,12.30
RB,CRB,Jonathan Taylor,IND,HOU,Sun  1:00pm ET,14,47.5,4,17,100%,100%,70,1,14.80,14.80,14.30
WR,CRB,Davante Adams,LV,@LAC,Sun  4:05pm ET,10,40.5,23,29,100%,95%,75,2,8.90,8.90,10.11
WR,CRB,DeVonta Smith,PHI,GB,Fri  8:15pm ET,5,49.5,19,17,100%,92%,50,2,13.40,13.40,9.51
TE,CRB,Isaiah Likely,BAL,@KC,Thu  8:20pm ET,14,46,---,2,56%,7%,3,2,22.10,22.10,4.91
RB,CRB,De'Von Achane,MIA,JAC,Sun  1:00pm ET,6,49.5,15,16,100%,98%,10,2,19.00,19.00,12.11
RB,CRB,Zamir White,LV,@LAC,Sun  4:05pm ET,10,40.5,21,22,100%,66%,11,1,3.60,3.60,7.60
QB,CRB,Bo Nix,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,20,41%,3%,15,3,14.02,14.02,14.30
DST,CRB,Dolphins,MIA,JAC,Sun  1:00pm ET,6,49.5,24,22,66%,48%,3,1,6.00,6.00,10.00
RB,CRB,Antonio Gibson,NE,@CIN,Sun  1:00pm ET,14,41,47,20,62%,3%,1,2,1.80,1.80,6.40
WR,CRB,Keenan Allen,CHI,TEN,Sun  1:00pm ET,7,43,45,24,91%,17%,18,2,4.90,4.90,6.51
WR,CRB,Romeo Doubs,GB,@PHI,Fri  8:15pm ET,10,49.5,---,32,70%,7%,3,1,7.00,7.00,6.21
WR,CRB,Luke McCaffrey,WAS,@TB,Sun  4:25pm ET,14,42,---,23,18%,1%,1,2,2.80,2.80,3.70
WR,CRB,Jalen McMillan,TB,WAS,Sun  4:25pm ET,11,42,---,31,10%,1%,3,3,10.20,10.20,4.51
WR,CRB,Courtland Sutton,DEN,@SEA,Sun  4:05pm ET,14,42.5,37,22,90%,27%,15,2,5.80,5.80,8.01
WR,CRB,Mike Williams,NYJ,@SF,Mon  8:15pm ET,12,43.5,---,20,51%,2%,4,2,0.00,0.00,5.61
TE,CRB,Ben Sinnott,WAS,@TB,Sun  4:25pm ET,14,42,---,31,21%,1%,5,3,0.00,0.00,3.90
DST,CRB,Texans,HOU,@IND,Sun  1:00pm ET,14,47.5,16,17,78%,60%,1,1,6.00,6.00,8.70
QB,ELP,Josh Allen,BUF,ARI,Sun  1:00pm ET,12,46,1,28,100%,100%,203,1,35.18,35.18,27.35
RB,ELP,Jerome Ford,CLE,DAL,Sun  4:25pm ET,10,42,25,18,98%,47%,1,1,14.90,14.90,9.41
RB,ELP,Kenneth Walker,SEA,DEN,Sun  4:05pm ET,10,42.5,11,30,100%,96%,30,1,21.90,21.90,10.80
WR,ELP,Tyreek Hill,MIA,JAC,Sun  1:00pm ET,6,49.5,1,21,100%,100%,74,1,23.00,23.00,13.82
WR,ELP,Jayden Reed,GB,@PHI,Fri  8:15pm ET,10,49.5,35,32,97%,46%,5,2,33.10,33.10,7.61
TE,ELP,Mark Andrews,BAL,@KC,Thu  8:20pm ET,14,46,3,2,100%,89%,37,1,2.40,2.40,6.92
