SznPlPos,PlPos,SznLgTrf,LgTrf,Season,TrfLg,TRUFFLE,Logo,Award,Div,Winner,Pos,Value,Image
2023_TravisEtienne_RB,TravisEtienne_RB,2023_TRUFFLE_MCM,TRUFFLE_MCM,2023,TRUFFLE,MCM,,2ndTm,,Travis Etienne,RB,FL,
2023_DakPrescott_QB,DakPrescott_QB,2023_TRUFFLE_ELP,TRUFFLE_ELP,2023,TRUFFLE,ELP,,2ndTm,,Dak Prescott,QB,SF,
2022_EastLansingPuffins_,EastLansingPuffins_,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/RFS.png?updatedAt=1741072371985,Champion,MI,East Lansing Puffins,,11-3,
2022_McLeanMarauders_,McLeanMarauders_,2022_TRUFFLE_MCM,TRUFFLE_MCM,2022,TRUFFLE,MCM,https://ik.imagekit.io/rmaxsm/Awards%20Logos/BenchCup.png?updatedAt=1741072375029,Bench Cup Champion,OT,McLean Marauders,,9-5,
2022_FrankfurtRoadrunners_,FrankfurtRoadrunners_,2022_TRUFFLE_FRR,TRUFFLE_FRR,2022,TRUFFLE,FRR,https://ik.imagekit.io/rmaxsm/Awards%20Logos/2nd.png?updatedAt=1748805817095,2nd Place,GOB,Frankfurt Roadrunners,,10-4,
2022_MadisonMuskellunge_,MadisonMuskellunge_,2022_TRUFFLE_MAM,TRUFFLE_MAM,2022,TRUFFLE,MAM,https://ik.imagekit.io/rmaxsm/Awards%20Logos/3rd.png?updatedAt=1748805842541,3rd Place,MI,Madison Muskellunge,,11-3,
2022_EastLansingPuffins_,EastLansingPuffins_,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/tD%20Logos/HighScore.png?updatedAt=1741568471038,Regular Season 1 Seed,MI,East Lansing Puffins,,11-3,
2022_FrankfurtRoadrunners_GOB,FrankfurtRoadrunners_GOB,2022_TRUFFLE_FRR,TRUFFLE_FRR,2022,TRUFFLE,FRR,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,GOB,Frankfurt Roadrunners,,10-4,
2022_NaplesNordiques_CH+,NaplesNordiques_CH+,2022_TRUFFLE_NN,TRUFFLE_NN,2022,TRUFFLE,NN,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,CH+,Naples Nordiques,,9-5,
2022_EastLansingPuffins_MI,EastLansingPuffins_MI,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,MI,East Lansing Puffins,,11-3,
2022_McLeanMarauders_OT,McLeanMarauders_OT,2022_TRUFFLE_MCM,TRUFFLE_MCM,2022,TRUFFLE,MCM,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,OT,McLean Marauders,,9-5,
2022_VirginiaDragons_,VirginiaDragons_,2022_TRUFFLE_VD,TRUFFLE_VD,2022,TRUFFLE,VD,https://ik.imagekit.io/rmaxsm/tD%20Logos/AvgScore.png?updatedAt=1741568470956,Consolation Winner,GOB,Virginia Dragons,,4-10,
2022_AndreasFrame&EricSmith_,AndreasFrame&EricSmith_,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Exec.png?updatedAt=1741072377136,Executive of the Year,,Andreas Frame & Eric Smith,,,
2022_JalenHurts_QB,JalenHurts_QB,2022_TRUFFLE_CRB,TRUFFLE_CRB,2022,TRUFFLE,CRB,https://ik.imagekit.io/rmaxsm/Awards%20Logos/MVP.png?updatedAt=1741072374050,Most Valuable Player,,Jalen Hurts,QB,,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/jhurts.png?updatedAt=1741074424026
2022_KennethWalker_RB,KennethWalker_RB,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/ROY.png?updatedAt=1741072373025,Rookie of the Year,,Kenneth Walker,RB,,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/kwalker.png?updatedAt=1741074426613
2022_DanielJones_QB,DanielJones_QB,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/PlayoffsMVP.png?updatedAt=1741072373565,Playoff MVP,,Daniel Jones,QB,,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/djones.png?updatedAt=1741074422419
2022_AustinEkeler_RB,AustinEkeler_RB,2022_TRUFFLE_MCM,TRUFFLE_MCM,2022,TRUFFLE,MCM,https://ik.imagekit.io/rmaxsm/Awards%20Logos/BenchCupMVP.png?updatedAt=1741072377903,Bench Cup MVP,,Austin Ekeler,RB,,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/aekeler.png?updatedAt=1741074420274
2022_MatthewStafford_QB,MatthewStafford_QB,2022_TRUFFLE_FRR,TRUFFLE_FRR,2022,TRUFFLE,FRR,https://ik.imagekit.io/rmaxsm/Awards%20Logos/LVP.png?updatedAt=1741072378261,Least Valuable Player,,Matthew Stafford,QB,$93,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/mstafford.png?updatedAt=1741074428776
2022_GenoSmith_QB,GenoSmith_QB,2022_TRUFFLE_MWM,TRUFFLE_MWM,2022,TRUFFLE,MWM,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Waiver.png?updatedAt=1741072372597,Waiver Wire Pickup,,Geno Smith,QB,$25,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/gsmith.png?updatedAt=1741074423670
2022_JoshJacobs_RB,JoshJacobs_RB,2022_TRUFFLE_NN,TRUFFLE_NN,2022,TRUFFLE,NN,https://ik.imagekit.io/rmaxsm/Awards%20Logos/FreeAgent.png?updatedAt=1748807451747,Best Free Agent Auction Signing,,Josh Jacobs,RB,$59,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Players/jjacobs.png?updatedAt=1741074423791
2022_JalenHurts_QB,JalenHurts_QB,2022_TRUFFLE_CRB,TRUFFLE_CRB,2022,TRUFFLE,CRB,,1stTm,,Jalen Hurts,QB,QB,
2022_JoshJacobs_RB,JoshJacobs_RB,2022_TRUFFLE_NN,TRUFFLE_NN,2022,TRUFFLE,NN,,1stTm,,Josh Jacobs,RB,RB*,
2022_ChristianMcCaffrey_RB,ChristianMcCaffrey_RB,2022_TRUFFLE_FRR,TRUFFLE_FRR,2022,TRUFFLE,FRR,,1stTm,,Christian McCaffrey,RB,RB,
2022_JustinJefferson_WR,JustinJefferson_WR,2022_TRUFFLE_NN,TRUFFLE_NN,2022,TRUFFLE,NN,,1stTm,,Justin Jefferson,WR,WR*,
2022_TyreekHill_WR,TyreekHill_WR,2022_TRUFFLE_ELP,TRUFFLE_ELP,2022,TRUFFLE,ELP,,1stTm,,Tyreek Hill,WR,WR,
2022_DavanteAdams_WR,DavanteAdams_WR,2022_TRUFFLE_MCM,TRUFFLE_MCM,2022,TRUFFLE,MCM,,1stTm,,Davante Adams,WR,WR,
2022_TravisKelce_TE,TravisKelce_TE,2022_TRUFFLE_FRR,TRUFFLE_FRR,2022,TRUFFLE,FRR,,1stTm,,Travis Kelce,TE,TE*,
