SznPlPos,PlPos,SznLgTrf,LgTrf,TrfLg,Season,Round,Pick,RoundPick,TrfTm,Player,Pos,Salary,Extension
2021_NicoCollins_WR,NicoCollins_WR,2021_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2021,3,26,2,AFL,Nico Collins,WR,3,30
2021_KellenMond_QB,KellenMond_QB,2021_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2021,3,27,3,FRR,Kellen Mond,QB,3,30
2021_IanBook_QB,IanBook_QB,2021_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2021,3,28,4,MCM,Ian Book,QB,3,30
2021_DyamiBrown_WR,DyamiBrown_WR,2021_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2021,3,29,5,MAM,Dyami Brown,WR,3,30
2021_DavisMills_QB,DavisMills_QB,2021_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2021,3,30,6,VD,Davis Mills,QB,3,30
2021_TutuAtwell_WR,TutuAtwell_WR,2021_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2021,3,31,7,NN,Tutu Atwell,WR,3,30
2021_JoshPalmer_WR,JoshPalmer_WR,2021_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2021,3,32,8,CRB,Josh Palmer,WR,3,30
2021_JavianHawkins_WR,JavianHawkins_WR,2021_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2021,3,33,9,GF,Javian Hawkins,WR,3,30
2021_AnthonySchwartz_WR,AnthonySchwartz_WR,2021_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2021,3,34,10,WLW,Anthony Schwartz,WR,3,30
2021_RhamondreStevenson_RB,RhamondreStevenson_RB,2021_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2021,3,35,11,MWM,Rhamondre Stevenson,RB,3,30
2021_KennethGainwell_RB,KennethGainwell_RB,2021_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2021,3,36,12,CC,Kenneth Gainwell,RB,3,30
2022_BreeceHall_RB,BreeceHall_RB,2022_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2022,1,1,1,CRB,Breece Hall,RB,50,70
2022_ChrisOlave_WR,ChrisOlave_WR,2022_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2022,1,2,2,AFL,Chris Olave,WR,45,60
2022_JamesonWilliams_WR,JamesonWilliams_WR,2022_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2022,1,3,3,GF,Jameson Williams,WR,40,60
2022_DrakeLondon_WR,DrakeLondon_WR,2022_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2022,1,4,4,FRR,Drake London,WR,35,60
2022_KennethWalker_RB,KennethWalker_RB,2022_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2022,1,5,5,ELP,Kenneth Walker,RB,30,70
2022_GarrettWilson_WR,GarrettWilson_WR,2022_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2022,1,6,6,MAM,Garrett Wilson,WR,25,60
2022_TreylonBurks_WR,TreylonBurks_WR,2022_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2022,1,7,7,NN,Treylon Burks,WR,20,50
2022_ChristianWatson_WR,ChristianWatson_WR,2022_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2022,1,8,8,GF,Christian Watson,WR,15,50
2022_JamesCook_RB,JamesCook_RB,2022_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2022,1,9,9,CC,James Cook,RB,15,60
2022_KennyPickett_QB,KennyPickett_QB,2022_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2022,1,10,10,FRR,Kenny Pickett,QB,10,60
2022_SkyyMoore_WR,SkyyMoore_WR,2022_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2022,1,11,11,ELP,Skyy Moore,WR,10,50
2022_IsaiahSpiller_RB,IsaiahSpiller_RB,2022_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2022,1,12,12,WLW,Isaiah Spiller,RB,10,60
2022_MalikWillis_QB,MalikWillis_QB,2022_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2022,2,13,1,WLW,Malik Willis,QB,5,50
2022_RachaadWhite_RB,RachaadWhite_RB,2022_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2022,2,14,2,MAM,Rachaad White,RB,5,50
2022_DameonPierce_RB,DameonPierce_RB,2022_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2022,2,15,3,FRR,Dameon Pierce,RB,5,50
2022_GeorgePickens_WR,GeorgePickens_WR,2022_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2022,2,16,4,CC,George Pickens,WR,5,40
2022_DesmondRidder_QB,DesmondRidder_QB,2022_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2022,2,17,5,CRB,Desmond Ridder,QB,5,50
2022_TylerAllgeier_RB,TylerAllgeier_RB,2022_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2022,2,18,6,NN,Tyler Allgeier,RB,5,50
2022_MattCorrall_QB,MattCorrall_QB,2022_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2022,2,19,7,MAM,Matt Corrall,QB,5,50
2022_ZamirWhite_RB,ZamirWhite_RB,2022_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2022,2,20,8,MCM,Zamir White,RB,5,50
2022_JahanDotson_WR,JahanDotson_WR,2022_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2022,2,21,9,MCM,Jahan Dotson,WR,5,40
2022_DavidBell_WR,DavidBell_WR,2022_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2022,2,22,10,GF,David Bell,WR,5,40
2022_JohnMetchie_WR,JohnMetchie_WR,2022_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2022,2,23,11,AFL,John Metchie,WR,5,40
2022_BrianRobinson_RB,BrianRobinson_RB,2022_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2022,2,24,12,ELP,Brian Robinson,RB,5,50
2022_SamHowell_QB,SamHowell_QB,2022_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2022,3,25,1,ELP,Sam Howell,QB,3,30
2022_HassanHaskins_RB,HassanHaskins_RB,2022_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2022,3,26,2,AFL,Hassan Haskins,RB,3,30
2022_KeontayIngram_RB,KeontayIngram_RB,2022_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2022,3,27,3,MCM,Keontay Ingram,RB,3,30
2022_AlecPierce_WR,AlecPierce_WR,2022_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2022,3,28,4,FRR,Alec Pierce,WR,3,30
2022_JalenTolbert_WR,JalenTolbert_WR,2022_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2022,3,29,5,CRB,Jalen Tolbert,WR,3,30
2022_TreyMcBride_TE,TreyMcBride_TE,2022_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2022,3,30,6,MAM,Trey McBride,TE,3,5
2022_TyquanThornton_WR,TyquanThornton_WR,2022_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2022,3,31,7,NN,Tyquan Thornton,WR,3,30
2022_RomeoDoubs_WR,RomeoDoubs_WR,2022_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2022,3,32,8,CRB,Romeo Doubs,WR,3,30
2022_JelaniWoods_TE,JelaniWoods_TE,2022_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2022,3,33,9,VD,Jelani Woods,TE,3,5
