Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Deonte Harty ,WR,NO,11,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14
Derek Carr ,QB,LV,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,100
Derek Watt ,RB,PIT,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
Derrick Henry ,RB,TEN,68,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,58
Devin Duvernay ,WR,BAL,52,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,53
Devin Singletary ,RB,BUF,59,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,57
Dezmon Patmon ,WR,IND,0,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,48
Diontae Johnson ,WR,PIT,81,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,84
Donovan Peoples-Jones ,WR,CLE,83,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,80
Dontrell Hilliard ,RB,TEN,18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,18
Drake London ,WR,ATL,72,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,76
Drew Sample ,TE,CIN,29,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,23
Durham Smythe ,TE,MIA,63,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,56
Dwayne Washington ,RB,NO,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6
Elijah Mitchell ,RB,SF,25,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,25
Elijah Moore ,WR,NYJ,89,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,88
Eno Benjamin ,RB,ARI,34,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,39
Equanimeous St Brown ,WR,CHI,76,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,74
Eric Saubert ,TE,DEN,27,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,32
Eric Tomlinson ,TE,DEN,30,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,30
Evan Engram ,TE,JAC,71,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,70
Ezekiel Elliott ,RB,DAL,58,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,62
Foster Moreau ,TE,LV,0,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,61
Gabe Davis ,WR,BUF,98,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,98
Garrett Wilson ,WR,NYJ,49,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,55
Gary Brightwell ,RB,NYG,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Geno Smith ,QB,SEA,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,100
Geoff Swaim ,TE,TEN,69,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,69
George Pickens ,WR,PIT,71,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,78
Gerald Everett ,TE,LAC,66,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,66
Giovanni Ricci ,TE,CAR,23,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,27
Greg Dortch ,WR,ARI,91,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,80
Gunner Olszewski ,WR,PIT,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,14
Harrison Bryant ,TE,CLE,48,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,47
Hassan Haskins ,RB,TEN,0,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,50
Hayden Hurst ,TE,CIN,75,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,78
Hunter Henry ,TE,NE,77,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,62
Hunter Renfrow ,WR,LV,83,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,75
Ian Thomas ,TE,CAR,66,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,70
Irv Smith ,TE,MIN,31,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,43
Isaiah Likely ,TE,BAL,45,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,40
Isaiah McKenzie ,WR,BUF,44,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,45
Isiah Pacheco ,RB,KC,23,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,17
JD McKissic ,RB,WAS,40,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,43
Ja'Marr Chase ,WR,CIN,100,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,98
Jacoby Brissett ,QB,CLE,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,100
Jaelon Darden ,WR,TB,16,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14
Jahan Dotson ,WR,WAS,88,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,93
Jake Kumerow ,WR,BUF,0,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,78
Jakob Johnson ,RB,LV,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,14
Jakobi Meyers ,WR,NE,88,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,85
Jalen Guyton ,WR,LAC,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7
Jalen Hurts ,QB,PHI,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,100
Jalen Reagor ,WR,MIN,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,16
Jamaal Williams ,RB,DET,33,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,34
Jamal Agnew ,WR,JAC,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,10
Jameis Winston ,QB,NO,100,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,98
James Conner ,RB,ARI,72,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,43
James Cook ,RB,BUF,5,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,17
James Proche ,WR,BAL,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,9
James Robinson ,RB,JAC,49,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,56
Jamison Crowder ,WR,BUF,31,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,29
Jared Goff ,QB,DET,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,100
Jarvis Landry ,WR,NO,72,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,70
Jauan Jennings ,WR,SF,60,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,53
Javonte Williams ,RB,DEN,58,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,62
Jaylen Waddle ,WR,MIA,67,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,74
Jaylen Warren ,RB,PIT,37,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,33
Jeff Driskel ,QB,HOU,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4
Jeff Smith ,WR,NYJ,0,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14
Jeff Wilson ,RB,SF,59,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,53
Jeremy Ruckert ,TE,NYJ,0,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,26
Jerick McKinnon ,RB,KC,39,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,43
Jerry Jeudy ,WR,DEN,89,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,50
Jimmy Garoppolo ,QB,SF,0,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,79
Jody Fortson ,TE,KC,34,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,24
Joe Burrow ,QB,CIN,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,100
Joe Flacco ,QB,NYJ,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,100
Joe Mixon ,RB,CIN,73,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,74
