playerID,Avail,Player,Pos,Opp,NFL,OVP,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
,MAM,DeAndre Carter,WR,JAC,LAC,21,0.0,0,0,0.0,0.0,7,8.5,19.8,3,0,100.0,119,11.95,23.90
,W (9/25),Greg Dortch,WR,LAR,ARI,31,0.0,0,0,0.0,0.0,13,14.9,10.7,2,0,54.5,118,11.90,23.80
,WLW,Dalvin Cook,RB,DET,MIN,32,0.0,0,0,4.1,0.0,11,14.1,5.3,0,0,42.9,144,11.70,23.40
,GF,Michael Carter,RB,CIN,NYJ,11,0.0,0,0,4.9,1.0,14,13.5,5.6,0,0,50.0,150,11.50,23.00
,VD,Tony Pollard,RB,@NYG,DAL,18,0.0,0,0,3.4,0.0,9,12.3,11.5,1,1,33.3,120,11.50,23.00
,WLW,Zach Ertz,TE,LAR,ARI,3,0.0,0,0,0.0,0.0,15,17.2,8.9,0,0,60.0,89,11.45,22.90
,WLW,Tee Higgins,WR,@NYJ,CIN,18,0.0,0,0,0.0,0.0,12,13.5,12.2,0,0,87.5,98,11.40,22.80
,VD,Davis Mills,QB,@CHI,HOU,15,56.0,6,1,0.0,0.0,0,0.0,0.0,0,0,0.0,417,11.39,22.78
,VD,Jakobi Meyers,WR,BAL,NE,32,0.0,0,0,7.0,0.0,19,29.2,11.5,2,0,46.2,157,11.35,22.70
,MAM,Gerald Everett,TE,JAC,LAC,11,0.0,0,0,0.0,0.0,14,17.1,13.9,2,0,44.4,125,11.25,22.50
,MWM,Jerry Jeudy,WR,SF,DEN,6,0.0,0,0,1.0,0.0,10,13.7,22.6,1,1,80.0,114,11.20,22.40
,MCM,Mike Williams,WR,JAC,LAC,21,0.0,0,0,0.0,0.0,14,17.1,12.3,1,0,40.0,123,11.15,22.30
,CRB,Ryan Tannehill,QB,LV,TEN,28,58.5,7,0,3.0,0.0,0,0.0,0.0,0,0,0.0,392,11.11,22.22
,CRB,Dontrell Hilliard,RB,LV,TEN,27,0.0,0,0,4.0,0.0,4,12.1,20.3,2,0,100.0,69,21.90,21.90
,CC,Nelson Agholor,WR,BAL,NE,32,0.0,0,0,0.0,0.0,11,16.9,15.3,2,1,44.4,138,10.90,21.80
,CC,Tyler Lockett,WR,ATL,SEA,30,0.0,0,0,0.0,0.0,15,25.4,11.2,1,0,66.7,135,10.75,21.50
,NN,Josh Jacobs,RB,@TEN,LV,21,0.0,0,0,4.3,0.0,2,2.7,14.0,0,0,50.0,154,10.70,21.40
,MAM,Dallas Goedert,TE,@WAS,PHI,8,0.0,0,0,0.0,0.0,10,15.9,17.8,3,0,87.5,142,10.60,21.20
,CRB,Breece Hall,RB,CIN,NYJ,11,0.0,0,0,5.6,1.0,10,9.6,6.9,0,0,42.9,121,10.55,21.10
,CC,Marquise Brown,WR,LAR,ARI,31,0.0,0,0,0.0,0.0,17,19.5,11.1,2,0,40.0,111,10.55,21.10
,VD,Diontae Johnson,WR,@CLE,PIT,26,0.0,0,0,0.0,0.0,22,31.0,8.6,1,0,53.8,112,10.10,20.20
,MWM,Tom Brady,QB,GB,TB,12,59.0,6,2,-0.6,0.0,0,0.0,0.0,0,0,0.0,399,10.04,20.08
,NN,Pat Freiermuth,TE,@CLE,PIT,12,0.0,0,0,0.0,0.0,17,23.9,10.8,2,0,44.4,97,9.85,19.70
,ELP,Tyreek Hill,WR,BUF,MIA,4,0.0,0,0,6.0,0.0,25,30.1,14.9,5,2,57.9,290,26.00,52.00
,ELP,Clyde Edwards-Helaire,RB,@IND,KC,15,0.0,0,0,7.7,1.0,7,9.5,10.9,2,0,85.7,192,19.60,39.20
,ELP,Baker Mayfield,QB,NO,CAR,14,53.6,5,2,3.7,0.0,0,0.0,0.0,0,0,0.0,421,17.15,34.30
,ELP,AJ Dillon,RB,@TB,GB,2,0.0,0,0,3.8,0.0,9,14.1,8.7,0,0,33.3,158,16.40,32.80
,ELP,Mark Andrews,TE,@NE,BAL,10,0.0,0,0,3.0,0.0,18,30.5,11.1,1,0,64.3,159,15.95,31.90
,ELP,Leonard Fournette,RB,GB,TB,17,0.0,0,0,4.3,0.0,6,9.8,4.8,0,0,0.0,211,14.05,28.10
,ELP,Deebo Samuel,WR,@DEN,SF,1,0.0,0,0,8.8,2.0,13,25.0,8.3,0,0,28.6,163,13.15,26.30
,ELP,Jamaal Williams,RB,@MIN,DET,22,0.0,0,0,3.5,0.0,3,4.2,4.5,0,0,0.0,90,13.00,26.00
,ELP,Devin Duvernay,WR,@NE,BAL,13,0.0,0,0,0.0,0.0,6,10.2,16.0,2,0,66.7,96,12.80,25.60
,ELP,Michael Pittman,WR,KC,IND,22,0.0,0,0,0.0,0.0,13,26.0,13.4,2,0,77.8,121,25.10,25.10
,ELP,Mac Jones,QB,BAL,NE,30,64.6,5,2,0.7,0.0,0,0.0,0.0,0,0,0.0,471,11.60,23.20
,ELP,Aaron Rodgers,QB,@TB,GB,2,69.5,7,1,1.5,0.0,0,0.0,0.0,0,0,0.0,438,10.58,21.16
