Season,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
2022,Isaiah Hodgins ,WR,Multi,0,0,0,0,23,0,0,0,0,62,59,70,80,89,89,97,81,0,430,73
2022,Isaiah Likely ,TE,BAL,45,36,33,0,23,22,11,67,76,bye,32,0,26,0,44,25,33,88,372,42
2022,Isaiah McKenzie ,WR,BUF,44,46,51,48,0,51,bye,53,66,69,40,73,52,64,56,36,0,56,555,54
2022,Isaiah Spiller ,RB,LAC,0,0,0,0,0,0,6,bye,19,17,25,12,0,0,0,0,0,0,51,16
2022,Isiah Pacheco ,RB,KC,23,9,8,21,3,15,30,bye,22,56,40,51,45,43,35,49,45,36,351,31
2022,JD McKissic ,RB,WAS,40,46,53,51,41,30,16,36,0,0,0,0,0,bye,0,0,0,0,221,40
2022,JJ Taylor ,RB,NE,0,0,0,0,0,0,0,0,27,bye,0,0,0,0,0,0,0,0,17,27
2022,JK Dobbins ,RB,BAL,0,0,45,50,40,27,0,0,0,bye,0,0,0,43,38,42,50,0,202,42
2022,JP Holtz ,TE,NO,0,0,0,18,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,11,18
2022,Ja'Marr Chase ,WR,CIN,100,96,87,94,100,98,93,0,0,bye,0,0,82,94,91,98,0,94,793,94
2022,JaMycal Hasty ,RB,JAC,0,0,4,6,4,16,6,22,19,22,bye,78,0,25,23,25,40,49,216,23
2022,Jack Stoll ,TE,PHI,0,0,53,0,0,45,bye,53,35,22,81,80,74,69,79,0,0,0,411,61
2022,Jacob Eason ,QB,CAR,0,0,0,0,0,16,0,0,0,0,0,0,bye,0,0,0,0,0,7,16
2022,Jacoby Brissett ,QB,CLE,100,100,100,100,100,100,100,100,bye,100,100,100,0,1,2,0,2,0,785,80
2022,Jaelon Darden ,WR,Multi,16,12,28,9,14,0,6,0,0,0,0,0,0,0,0,0,4,2,60,11
2022,Jahan Dotson ,WR,WAS,88,99,87,59,0,0,0,0,0,41,66,61,79,bye,79,86,77,74,651,75
2022,Jake Ferguson ,TE,DAL,0,0,83,28,0,51,38,55,bye,0,50,48,47,0,0,21,29,21,316,42
2022,Jake Kumerow ,WR,BUF,0,78,5,0,0,0,bye,12,8,11,0,0,0,0,0,0,0,0,78,22
2022,Jake Tonges ,TE,CHI,0,0,10,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,6,10
2022,Jakob Johnson ,RB,LV,14,0,23,0,39,bye,29,0,22,29,33,26,0,38,22,0,0,27,197,27
2022,Jakobi Meyers ,WR,NE,88,82,0,0,80,81,100,81,81,bye,95,29,57,0,62,100,82,90,690,79
2022,Jalen Camp ,WR,HOU,0,0,0,0,0,bye,0,0,25,0,0,0,0,0,0,0,0,0,15,25
2022,Jalen Guyton ,WR,LAC,7,0,26,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,21,16
2022,Jalen Hurts ,QB,PHI,100,100,100,100,100,100,bye,81,100,100,100,100,88,93,100,0,0,100,1028,98
2022,Jalen Nailor ,WR,MIN,0,0,0,1,0,0,bye,0,0,0,21,0,0,0,1,0,16,46,56,16
2022,Jalen Reagor ,WR,MIN,0,16,1,4,4,2,bye,6,3,0,21,3,3,11,8,0,21,23,82,9
2022,Jalen Tolbert ,WR,DAL,0,0,36,0,0,0,0,0,bye,10,18,0,0,0,0,0,0,0,44,20
2022,Jalen Virgil ,WR,DEN,0,0,0,0,0,0,0,0,bye,30,0,7,8,12,1,28,0,3,63,14
2022,Jamaal Williams ,RB,DET,33,34,45,49,33,bye,44,37,61,40,48,42,30,37,31,24,46,48,459,40
2022,Jamal Agnew ,WR,JAC,10,10,16,38,8,8,0,0,1,11,bye,24,16,15,14,12,27,14,141,14
2022,Jameis Winston ,QB,NO,100,97,100,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,196,99
2022,James Conner ,RB,ARI,72,21,60,66,35,0,0,0,71,96,77,97,bye,95,91,97,55,0,663,71
2022,James Cook ,RB,BUF,5,26,12,3,18,14,bye,25,23,17,25,18,43,41,36,41,0,56,269,25
2022,James Mitchell ,TE,DET,0,0,0,0,0,bye,0,8,21,24,0,24,0,0,24,29,28,18,116,22
2022,James Proche ,WR,BAL,9,0,0,0,28,0,12,63,25,bye,25,19,18,0,5,0,8,42,180,24
2022,James Robinson ,RB,Multi,49,63,58,47,41,43,17,22,40,0,22,0,11,0,0,0,0,0,272,37
2022,James Washington ,WR,DAL,0,0,0,0,0,0,0,0,bye,0,0,0,0,15,0,0,0,0,11,15
2022,Jameson Williams ,WR,DET,0,0,0,0,0,bye,0,0,0,0,0,0,11,19,19,17,25,24,78,19
2022,Jamison Crowder ,WR,BUF,31,28,49,17,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,93,33
2022,Jared Goff ,QB,DET,100,100,100,100,100,bye,100,100,100,100,100,100,97,100,100,100,90,100,1133,99
2022,Jaret Patterson ,RB,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,50,33,50
2022,Jarrett Stidham ,QB,LV,0,0,0,0,0,bye,0,24,0,0,0,0,0,0,0,0,100,100,154,78
2022,Jarvis Landry ,WR,NO,72,68,30,63,0,0,0,0,0,79,56,56,54,bye,35,0,0,0,301,56
2022,Jason Moore ,WR,LAC,0,0,0,0,0,0,25,bye,0,0,0,0,0,0,0,0,0,0,18,25
2022,Jauan Jennings ,WR,SF,60,46,46,36,22,32,41,0,bye,32,38,41,26,35,84,88,88,42,489,46
2022,Javonte Williams ,RB,DEN,58,65,45,45,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,142,54
2022,Jaylen Waddle ,WR,MIA,67,80,74,86,76,79,79,76,72,74,bye,62,52,84,69,74,76,75,785,74
2022,Jaylen Warren ,RB,PIT,37,29,20,25,51,31,23,29,bye,43,4,0,20,40,34,31,40,42,342,31
2022,Jeff Driskel ,QB,HOU,3,5,0,0,0,bye,0,0,0,0,0,0,0,50,29,28,21,9,96,21
2022,Jeff Smith ,WR,NYJ,0,14,0,10,20,0,59,22,12,bye,0,0,0,0,46,0,0,0,113,26
2022,Jeff Wilson ,RB,Multi,59,49,73,66,58,52,33,36,49,61,0,61,37,16,0,60,65,65,525,53
2022,Jelani Woods ,TE,IND,0,0,23,23,29,38,30,0,29,0,0,64,21,bye,24,63,60,52,303,37
2022,Jeremy Ruckert ,TE,NYJ,0,26,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,34,37,29
2022,Jerick McKinnon ,RB,KC,39,47,52,23,53,43,44,bye,62,38,52,34,47,57,62,47,48,37,535,47
2022,Jerome Ford ,RB,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,11,0,0,0,12,0,14,12
2022,Jerry Jeudy ,WR,DEN,89,14,59,89,84,91,89,85,bye,1,0,0,38,83,74,90,89,97,713,70
2022,Jesper Horsted ,TE,LV,0,0,0,0,58,bye,0,3,0,0,0,0,0,0,0,0,0,0,39,32
2022,Jimmy Garoppolo ,QB,SF,0,79,100,100,99,100,87,100,bye,100,88,100,10,0,0,0,0,0,614,84
2022,Jody Fortson ,TE,KC,34,11,13,29,0,0,34,bye,0,11,28,22,18,0,16,0,0,0,147,22
2022,Joe Burrow ,QB,CIN,100,100,100,100,100,100,100,100,78,bye,100,100,100,100,100,100,0,100,1091,98
2022,Joe Flacco ,QB,NYJ,100,100,100,0,0,0,0,0,0,bye,0,0,0,9,0,0,0,100,295,81
2022,Joe Mixon ,RB,CIN,73,76,66,83,70,72,72,72,65,bye,21,0,0,58,64,59,0,55,624,65
2022,John Bates ,TE,WAS,55,32,26,41,59,0,0,33,39,0,51,58,0,bye,57,0,0,0,305,45
2022,John Brown ,WR,BUF,0,0,0,0,0,0,bye,0,0,0,0,0,0,5,0,0,0,12,10,8
2022,John Wolford ,QB,LAR,0,0,0,0,0,0,bye,0,0,92,0,0,98,0,0,0,0,0,118,95
2022,Johnny Mundt ,TE,MIN,65,46,39,28,44,56,bye,61,23,0,47,54,35,0,18,31,0,0,364,41
2022,Jonathan Taylor ,RB,IND,76,74,76,88,0,0,55,69,0,94,75,92,82,bye,3,0,0,0,524,70
2022,Jonathan Ward ,RB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,7
2022,Jonathan Williams ,RB,WAS,1,0,3,8,0,0,0,0,0,0,0,8,2,bye,0,27,46,47,99,17
2022,Jonnu Smith ,TE,NE,68,57,48,0,0,43,33,64,54,bye,54,0,31,47,58,57,0,0,390,52
2022,Jordan Akins ,TE,HOU,0,0,29,35,17,bye,40,26,27,52,46,52,52,53,48,55,59,54,406,44
2022,Jordan Howard ,RB,NO,0,0,0,0,0,0,0,0,0,6,0,0,0,bye,0,0,0,0,3,6
2022,Jordan Love ,QB,GB,8,0,0,0,0,5,0,0,0,0,0,20,0,bye,0,0,11,0,26,11
2022,Jordan Mason ,RB,SF,0,0,9,0,1,0,0,0,bye,0,12,13,18,30,11,0,7,23,82,14
2022,Jordan Wilkins ,RB,IND,0,0,0,0,0,0,0,0,31,5,0,0,0,bye,0,15,17,0,40,17
2022,Josh Ali ,WR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,10,7,10
2022,Josh Allen ,QB,BUF,100,76,100,100,86,100,bye,100,100,100,100,100,100,100,100,100,0,100,1061,98
2022,Josh Gordon ,WR,TEN,0,32,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,18,32
2022,Josh Jacobs ,RB,LV,60,72,64,89,81,bye,80,55,69,79,80,79,75,83,75,81,67,71,821,75
2022,Josh Johnson ,QB,SF,0,0,0,0,0,0,0,0,bye,0,0,0,0,17,0,0,0,0,11,17
2022,Josh Oliver ,TE,BAL,0,0,40,0,35,36,48,50,65,bye,33,61,0,0,41,81,58,44,380,49
2022,Josh Reynolds ,WR,DET,80,72,79,84,91,bye,80,80,0,0,0,0,79,61,0,61,44,40,577,71
2022,Joshua Dobbs ,QB,TEN,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,100,99,139,99
2022,Joshua Kelley ,RB,LAC,27,25,21,20,38,0,0,bye,0,0,0,21,43,40,35,34,36,41,268,32
2022,Joshua Palmer ,WR,LAC,75,91,93,56,73,87,0,bye,91,95,92,95,93,79,65,59,58,79,898,80
2022,Josiah Deguara ,TE,GB,25,0,0,15,14,7,0,45,38,0,0,0,15,bye,0,29,37,0,150,25
2022,JuJu Smith-Schuster ,WR,KC,66,74,70,63,86,88,55,bye,83,38,0,38,76,81,88,83,65,73,765,71
2022,Julio Jones ,WR,TB,52,0,0,28,0,0,0,57,36,51,bye,62,65,72,0,27,28,0,351,48
2022,Julius Chestnut ,RB,TEN,0,0,0,0,0,bye,0,0,0,0,0,0,13,10,2,0,22,0,29,12
2022,Justice Hill ,RB,BAL,20,36,47,36,0,0,31,21,25,bye,41,19,24,3,38,13,33,22,264,27
2022,Justin Fields ,QB,CHI,100,100,100,100,100,100,100,96,100,100,100,0,100,bye,98,92,100,0,917,99
2022,Justin Herbert ,QB,LAC,100,99,100,100,100,100,100,bye,100,95,100,100,100,100,100,100,80,81,1162,97
2022,Justin Jackson ,RB,DET,0,0,0,14,21,bye,20,0,21,27,37,25,21,29,32,21,0,10,187,23
2022,Justin Jefferson ,WR,MIN,92,98,100,94,100,94,bye,99,100,100,79,97,96,94,92,100,79,51,1079,92
2022,Justin Watson ,WR,KC,23,25,16,18,15,10,16,bye,26,73,88,84,62,65,65,74,37,51,494,43
2022,Juwan Johnson ,TE,NO,74,78,68,48,57,78,74,73,75,66,63,47,0,bye,51,50,67,68,648,65
2022,Juwann Winfree ,WR,GB,15,0,21,0,0,18,0,0,0,0,0,0,0,bye,0,0,0,0,35,18
2022,KJ Osborn ,WR,MIN,68,77,75,85,82,60,bye,80,80,78,74,57,66,74,81,69,79,77,873,75
2022,KJ Hamler ,WR,DEN,61,0,26,8,53,57,58,70,bye,0,0,0,0,0,0,0,0,0,224,48
2022,KaVontae Turpin ,WR,DAL,3,8,13,8,5,3,10,10,bye,2,8,3,7,1,3,7,2,0,62,6
2022,Kadarius Toney ,WR,Multi,12,38,0,0,0,0,0,0,9,44,22,0,0,0,6,30,32,31,144,24
2022,Kalif Raymond ,WR,DET,12,10,17,51,85,bye,90,90,95,82,85,76,17,11,29,32,30,37,555,49
2022,Kareem Hunt ,RB,CLE,56,46,44,49,49,43,47,46,bye,36,43,41,38,39,26,47,32,25,492,42
2022,Ke'Shawn Vaughn ,RB,TB,0,0,0,0,0,0,0,0,4,7,bye,13,0,0,0,2,3,29,37,8
2022,Keaontay Ingram ,RB,ARI,0,0,0,0,0,13,30,0,2,7,25,11,bye,12,12,9,0,37,103,15
2022,Keelan Cole ,WR,LV,0,0,57,65,8,bye,0,31,0,69,67,65,57,48,24,23,0,14,356,45
2022,Keenan Allen ,WR,LAC,33,0,0,0,0,0,32,bye,0,0,68,89,96,86,89,84,84,76,515,74
2022,Keith Kirkwood ,WR,NO,0,0,0,0,39,71,0,0,0,0,0,0,0,bye,0,30,0,0,97,48
2022,Keith Smith ,RB,ATL,0,0,0,27,26,48,0,24,25,10,0,0,28,bye,0,10,19,29,151,24
2022,Keke Coutee ,WR,IND,0,0,0,0,0,0,0,0,2,2,0,0,0,bye,0,0,0,0,2,2
2022,Kendall Blanton ,TE,LAR,0,0,10,11,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,13,11
2022,Kendall Hinton ,WR,DEN,0,76,43,57,0,21,9,0,bye,96,88,92,77,86,0,0,47,0,460,63
2022,Kendrick Bourne ,WR,NE,4,35,27,45,57,6,0,69,76,bye,38,69,37,71,17,57,47,53,441,44
2022,Kene Nwangwu ,RB,MIN,0,0,0,0,0,0,bye,0,0,0,12,0,0,0,0,0,2,14,18,10
2022,Kenneth Gainwell ,RB,PHI,30,26,31,27,22,24,bye,25,28,32,16,34,27,18,40,42,27,27,331,28
2022,Kenneth Walker ,RB,SEA,0,25,13,36,58,69,73,77,77,87,bye,71,21,0,75,53,57,87,575,58
2022,Kenny Golladay ,WR,NYG,77,0,33,42,0,0,0,0,bye,38,43,0,0,0,0,0,0,100,219,54
2022,Kenny Pickett ,QB,PIT,0,0,0,48,100,58,100,100,bye,100,100,100,100,15,0,100,100,100,804,88
2022,Kenny Yeboah ,TE,NYJ,0,3,0,0,0,0,0,0,0,bye,0,0,0,0,0,2,0,0,3,2
2022,Kenyan Drake ,RB,BAL,59,27,0,0,42,58,27,58,68,bye,51,25,47,18,0,0,0,65,366,46
2022,Kevin Harris ,RB,NE,0,0,0,0,0,17,0,0,0,bye,0,0,2,49,11,7,0,0,53,17
2022,Kevin Rader ,TE,TEN,0,0,0,0,8,bye,24,0,0,21,0,0,18,3,13,0,0,0,52,14
2022,Kevin White ,WR,NO,0,0,0,0,0,17,29,47,35,66,0,32,0,bye,0,0,0,0,130,36
2022,KhaDarel Hodge ,WR,ATL,27,20,0,33,30,12,4,0,26,13,11,0,11,bye,18,20,24,0,157,20
2022,Khalil Herbert ,RB,CHI,29,20,60,77,28,22,41,28,28,38,0,0,0,bye,0,41,38,37,301,38
2022,Khalil Shakir ,WR,BUF,0,35,0,25,70,21,bye,29,0,20,0,0,21,20,0,39,0,25,194,30
2022,Khari Blasingame ,RB,CHI,0,0,24,0,0,8,0,0,0,0,0,18,0,bye,12,17,0,0,49,16
2022,Kirk Cousins ,QB,MIN,100,100,100,100,100,100,bye,100,98,100,79,100,100,100,100,100,86,54,1114,95
2022,Kirk Merritt ,WR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,25,0,17,25
2022,Ko Kieft ,TE,TB,0,36,17,14,18,25,27,19,20,0,bye,23,19,7,27,17,29,0,217,21
2022,Kyle Allen ,QB,HOU,0,0,0,0,0,bye,0,0,0,0,0,100,100,0,0,0,0,0,126,100
2022,Kyle Juszczyk ,RB,SF,37,53,63,64,57,53,48,0,bye,0,43,43,55,65,0,0,46,44,440,51
2022,Kyle Philips ,WR,TEN,48,23,0,4,28,bye,0,0,0,0,0,0,0,0,0,0,0,0,64,27
2022,Kyle Pitts ,TE,ATL,84,93,67,62,0,57,79,75,69,89,44,0,0,bye,0,0,0,0,434,72
2022,Kyle Rudolph ,TE,TB,0,0,14,0,11,0,12,9,0,0,bye,0,0,0,0,0,0,20,43,13
2022,Kyle Trask ,QB,TB,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,18,10,18
2022,Kylen Granson ,TE,IND,55,54,42,45,48,38,33,55,42,46,38,0,57,bye,33,0,0,0,408,45
2022,Kyler Murray ,QB,ARI,88,100,100,100,100,100,100,100,100,0,0,100,bye,4,0,0,0,0,719,90
2022,Kylin Hill ,RB,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,bye,0,0,0,0,1,1
2022,Kyren Williams ,RB,LAR,0,0,0,0,0,0,bye,0,0,27,55,70,28,30,9,12,6,0,141,30
2022,Lamar Jackson ,QB,BAL,100,100,100,100,100,100,100,100,100,bye,100,100,14,0,0,0,0,0,728,92
2022,Lance McCutcheon ,WR,LAR,0,0,0,0,0,0,bye,0,0,0,0,48,0,0,0,12,12,0,40,24
2022,Laquon Treadwell ,WR,SEA,0,0,0,0,0,0,0,0,0,0,bye,0,27,0,0,86,54,0,122,57
2022,Larry Rountree ,RB,LAC,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,20,12,21,16
2022,Latavius Murray ,RB,Multi,0,0,0,43,0,47,39,44,0,31,50,82,68,53,64,46,60,60,447,52
2022,Laviska Shenault ,WR,CAR,0,0,18,8,0,0,4,29,6,39,28,42,bye,29,28,35,27,29,206,26
2022,Lawrence Cager ,WR,Multi,12,0,0,0,0,0,0,18,0,65,74,44,0,0,0,0,0,97,212,50
2022,Leonard Fournette ,RB,TB,76,87,91,61,62,82,60,72,62,29,bye,0,60,47,58,60,46,5,689,60
2022,Lil'Jordan Humphrey ,WR,NE,0,38,82,53,23,0,0,0,0,bye,0,0,0,0,0,0,0,0,125,50
2022,Logan Thomas ,TE,WAS,62,73,65,74,0,0,0,0,72,73,68,71,56,bye,63,71,83,70,647,69
2022,Luke Farrell ,TE,JAC,0,0,0,0,0,11,0,0,22,0,bye,0,11,0,0,0,0,6,31,13
2022,Mac Jones ,QB,NE,100,100,100,0,0,0,35,100,100,bye,100,100,100,100,100,100,100,100,830,96
2022,Mack Hollins ,WR,LV,88,87,97,96,95,bye,100,91,85,96,100,96,98,97,88,94,86,94,1030,93
2022,Malcolm Brown ,RB,LAR,0,0,0,0,0,25,bye,22,28,0,0,0,0,28,16,11,16,0,85,21
2022,Malik Davis ,RB,DAL,0,0,0,0,0,0,0,33,bye,13,18,0,4,0,0,0,32,9,78,18
2022,Malik Willis ,QB,TEN,0,30,0,0,0,bye,0,100,100,2,0,0,18,0,16,100,0,0,208,51
2022,Marcedes Lewis ,TE,GB,0,0,0,0,51,0,0,0,43,58,0,0,42,bye,41,44,0,0,187,46
2022,Marcus Johnson ,WR,NYG,0,0,0,0,77,62,79,86,bye,0,0,0,15,0,3,4,0,95,279,53
2022,Marcus Kemp ,WR,KC,0,0,0,0,0,0,9,bye,0,0,0,0,0,0,0,0,0,0,6,9
2022,Marcus Mariota ,QB,ATL,100,100,100,100,100,100,100,100,100,100,100,100,100,bye,0,0,0,0,776,100
2022,Mark Andrews ,TE,BAL,84,83,90,94,95,92,88,13,0,bye,93,85,85,89,92,81,94,0,787,83
2022,Mark Ingram ,RB,NO,33,37,33,48,22,33,28,8,0,0,0,30,42,bye,0,0,0,0,205,31
2022,Marlon Mack ,RB,Multi,0,0,0,0,0,0,0,0,0,0,0,10,9,32,29,15,0,0,64,20
2022,Marquez Callaway ,WR,NO,0,0,19,97,73,75,72,33,57,0,37,0,22,bye,0,0,0,13,325,51
2022,Marquez Valdes-Scantling ,WR,KC,73,79,78,69,81,82,55,bye,71,84,71,58,56,51,53,43,83,59,777,68
2022,Marquise Brown ,WR,ARI,95,93,95,93,97,96,0,0,0,0,0,97,bye,96,89,66,91,85,783,91
2022,Marquise Goodwin ,WR,SEA,51,53,42,41,0,46,54,39,0,79,bye,45,37,76,59,51,0,0,420,51
2022,Marvin Jones ,WR,JAC,81,90,68,91,87,0,56,54,57,69,bye,60,68,49,66,43,67,55,700,66
2022,Mason Kinsey ,WR,TEN,0,0,0,0,0,bye,22,0,0,0,0,0,0,0,0,0,0,0,13,22
2022,Mason Schreck ,TE,HOU,0,0,0,33,41,bye,0,0,0,0,0,0,0,0,0,0,0,0,43,37
2022,Matt Breida ,RB,NYG,22,15,11,14,30,25,23,22,bye,20,20,28,14,36,17,16,19,70,264,23
2022,Matt Ryan ,QB,IND,100,96,100,100,100,100,100,0,0,100,100,100,100,bye,100,0,0,0,846,100
2022,Matthew Slater ,WR,NE,0,0,0,0,0,0,0,0,0,bye,0,0,0,3,0,0,3,0,4,3
2022,Matthew Stafford ,QB,LAR,100,98,100,100,100,100,bye,100,100,0,59,0,0,0,0,0,0,0,534,95
2022,Maurice Alexander ,WR,DET,0,0,0,3,2,bye,0,2,0,0,0,0,0,0,0,0,0,0,4,2
2022,Maxx Williams ,TE,ARI,0,0,0,0,0,0,0,0,0,0,18,0,bye,0,20,28,0,0,47,22
2022,Mecole Hardman ,WR,KC,56,54,68,46,40,45,62,bye,54,0,0,0,0,0,0,0,0,0,303,53
2022,Melvin Gordon ,RB,DEN,41,32,38,19,56,16,51,56,bye,54,0,0,0,0,0,0,0,0,255,41
2022,Michael Bandy ,WR,LAC,0,0,0,29,0,5,59,bye,80,84,12,3,23,0,0,0,0,0,198,35
2022,Michael Burton ,RB,KC,13,12,8,0,0,4,11,bye,5,3,3,0,5,6,1,0,3,0,50,6
2022,Michael Carter ,RB,NYJ,60,61,49,44,42,49,73,56,52,bye,50,30,0,50,52,39,29,32,496,48
2022,Michael Gallup ,WR,DAL,0,0,0,64,55,76,67,84,bye,83,62,76,66,76,91,84,85,90,738,76
2022,Michael Pittman ,WR,IND,98,0,94,89,99,99,100,95,90,97,98,100,93,bye,97,100,98,99,1065,97
2022,Michael Thomas ,WR,NO,61,76,68,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,136,69
2022,Michael Woods ,WR,CLE,0,0,0,0,0,14,0,17,bye,19,0,0,0,0,62,6,37,41,127,27
2022,Mike Boone ,RB,DEN,5,0,19,36,41,36,11,0,bye,0,0,0,23,15,0,0,0,0,119,23
2022,Mike Davis ,RB,BAL,13,31,0,0,8,0,0,0,4,bye,1,0,0,0,0,0,0,0,34,11
2022,Mike Evans ,WR,TB,73,61,0,91,85,96,88,94,88,73,bye,90,84,87,81,93,83,0,927,85
2022,Mike Gesicki ,TE,MIA,42,62,40,44,54,64,61,46,49,46,bye,54,20,39,20,24,42,38,478,45
2022,Mike Strachan ,WR,IND,12,70,0,14,0,23,0,0,0,0,0,0,0,bye,0,0,5,0,77,22
2022,Mike Thomas ,WR,CIN,69,0,0,0,71,0,0,45,30,bye,0,0,0,0,0,0,0,0,160,55
2022,Mike White ,QB,NYJ,0,0,0,0,0,0,0,0,0,bye,0,100,100,91,0,0,100,0,285,98
2022,Mike Williams ,WR,LAC,93,88,90,93,85,94,76,bye,0,0,9,0,0,65,89,85,78,37,703,76
2022,Miles Boykin ,WR,PIT,13,0,0,0,7,6,0,11,bye,0,0,0,0,18,37,0,14,15,81,15
2022,Miles Sanders ,RB,PHI,52,53,59,67,74,62,bye,51,65,58,65,54,53,66,55,54,40,40,673,57
2022,Miller Forristall ,TE,CLE,0,0,6,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,4,6
2022,Mitch Trubisky ,QB,PIT,100,100,100,52,0,42,0,0,bye,0,0,0,0,85,100,0,0,0,356,82
2022,Mitchell Wilcox ,TE,CIN,0,27,57,50,0,0,38,28,0,bye,0,0,72,79,91,65,0,0,350,57
2022,Mo Alie-Cox ,TE,IND,54,54,59,70,44,0,0,50,55,0,62,34,43,bye,51,44,53,60,494,52
2022,Montrell Washington ,WR,DEN,0,17,19,6,5,5,4,5,bye,9,9,12,15,6,1,4,0,0,78,8
2022,MyCole Pruitt ,TE,ATL,0,0,0,0,0,28,0,0,30,19,56,56,50,bye,55,51,65,46,284,46
2022,Myles Gaskin ,RB,MIA,0,0,0,0,19,0,0,0,0,0,bye,34,0,0,0,0,0,0,39,27
2022,N'Keal Harry ,WR,CHI,0,0,0,0,0,0,42,63,28,0,0,0,10,bye,0,0,48,33,148,39
2022,Najee Harris ,RB,PIT,59,71,80,75,49,69,77,71,bye,60,92,29,66,56,66,72,64,63,763,66
2022,Nate Sudfeld ,QB,DET,0,0,0,0,0,bye,0,0,0,0,0,0,3,0,0,0,10,0,9,6
2022,Nathan Peterman ,QB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,2,8,0,75,44,25
2022,Nelson Agholor ,WR,NE,58,50,76,66,12,0,6,24,0,bye,59,78,56,97,83,34,45,6,455,50
2022,Nick Boyle ,TE,BAL,0,0,0,0,0,0,0,0,0,bye,0,14,0,0,0,12,0,0,16,13
2022,Nick Chubb ,RB,CLE,53,54,63,55,52,44,57,51,bye,48,55,59,51,62,70,53,56,75,660,56
2022,Nick Foles ,QB,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,100,50,0,81,74
2022,Nick Mullens ,QB,MIN,0,0,0,0,0,0,bye,0,2,0,21,0,0,0,0,0,14,46,54,21
2022,Nick Vannett ,TE,Multi,0,0,7,0,0,0,0,58,0,0,0,0,45,44,16,7,0,87,170,37
2022,Nick Westbrook-Ikhine ,WR,TEN,68,61,57,0,92,bye,76,74,78,77,79,75,95,96,82,75,69,57,742,76
2022,Nico Collins ,WR,HOU,67,67,68,77,81,bye,46,0,0,78,86,75,72,0,0,0,0,0,441,71
2022,Nikola Kalinic ,TE,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,2,0,1,2
2022,Noah Brown ,WR,DAL,88,85,80,79,76,91,79,0,bye,76,75,45,79,70,75,75,59,66,822,74
2022,Noah Fant ,TE,SEA,56,53,55,58,60,63,73,72,60,52,bye,62,67,56,52,55,62,64,660,60
2022,Noah Gray ,TE,KC,53,49,41,58,40,42,58,bye,40,46,60,66,58,57,56,51,55,58,597,52
2022,Noah Togiai ,TE,PHI,14,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,11,14
2022,Nsimba Webster ,WR,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,17,0,0,0,10,17
2022,Nyheim Hines ,RB,Multi,28,30,45,32,4,0,38,36,6,8,15,5,31,17,4,5,0,5,208,19
2022,OJ Howard ,TE,HOU,17,29,31,75,79,bye,0,50,43,52,25,20,0,0,0,0,27,0,268,40
2022,Olamide Zaccheaus ,WR,ATL,60,43,67,56,67,74,62,81,70,76,76,74,87,bye,81,92,61,62,737,70
2022,PJ Walker ,QB,CAR,0,0,0,0,13,84,100,100,37,100,0,0,bye,0,0,0,0,0,260,73
2022,Parker Hesse ,TE,ATL,64,66,75,87,62,0,0,43,0,35,0,61,63,bye,57,62,0,66,471,61
2022,Parris Campbell ,WR,IND,77,86,82,67,92,100,98,79,82,80,80,88,78,bye,82,88,97,92,980,85
2022,Pat Freiermuth ,TE,PIT,89,81,76,73,49,0,59,62,bye,69,71,71,55,56,0,81,77,63,705,69
2022,Patrick Mahomes ,QB,KC,93,100,100,100,100,100,91,bye,100,100,100,100,100,100,100,100,100,88,1131,99
2022,Patrick Ricard ,RB,BAL,64,63,65,70,0,76,88,51,68,bye,55,74,35,74,56,0,0,0,543,64
2022,Patrick Taylor ,RB,GB,0,0,0,0,0,0,0,0,0,0,0,0,9,bye,13,8,19,0,32,12
2022,Penny Hart ,WR,SEA,0,0,8,0,0,0,0,0,0,0,bye,0,0,0,3,24,0,0,26,12
