Season,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
2022,Brandon Aiyuk ,WR,SF,99,88,89,92,87,92,94,98,bye,97,79,97,95,78,97,96,96,73,1002,91
2022,Brandon Allen ,QB,CIN,0,0,0,0,0,0,0,0,22,bye,0,0,0,0,0,0,0,0,16,21
2022,Brandon Bolden ,RB,LV,28,0,36,7,16,bye,0,0,7,0,5,0,0,2,0,4,21,0,81,14
2022,Brandon Johnson ,WR,DEN,0,0,0,0,0,0,0,0,bye,0,34,70,0,74,59,0,0,11,165,50
2022,Brandon Powell ,WR,LAR,4,10,13,8,17,38,bye,5,9,8,31,48,41,22,18,62,76,80,290,28
2022,Braxton Berrios ,WR,NYJ,46,23,31,11,22,29,56,51,35,bye,12,25,24,23,43,0,13,4,297,28
2022,Braylon Sanders ,WR,MIA,0,0,0,0,0,0,0,21,0,0,bye,0,0,0,22,0,0,0,27,21
2022,Breece Hall ,RB,NYJ,45,27,51,66,69,67,20,0,0,bye,0,0,0,0,0,0,0,0,233,49
2022,Breshad Perriman ,WR,TB,42,75,72,0,0,3,0,7,29,0,bye,12,0,0,0,0,0,58,194,36
2022,Brett Rypien ,QB,DEN,0,0,0,0,0,0,100,0,bye,0,0,0,0,14,100,25,0,0,175,61
2022,Brevin Jordan ,TE,HOU,60,37,0,0,0,bye,46,56,63,0,0,0,37,0,8,54,36,0,253,44
2022,Brian Hoyer ,QB,NE,0,0,0,26,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,15,26
2022,Brian Robinson ,RB,WAS,0,0,0,0,29,47,47,25,44,52,34,48,47,bye,38,44,52,0,351,43
2022,Britain Covey ,WR,PHI,0,0,0,0,0,0,bye,7,2,0,0,0,12,7,0,0,0,0,19,7
2022,Brock Purdy ,QB,SF,0,0,0,0,1,0,13,0,bye,0,12,0,90,83,100,100,100,82,380,63
2022,Brock Wright ,TE,DET,0,36,0,32,0,bye,53,38,81,74,75,68,46,57,47,41,65,58,510,55
2022,Bryan Edwards ,WR,ATL,47,26,0,0,21,0,0,4,0,0,0,0,0,bye,0,0,0,0,68,25
2022,Bryce Perkins ,QB,LAR,0,0,0,0,0,0,bye,0,0,8,41,100,2,0,0,6,0,0,90,29
2022,Brycen Hopkins ,TE,LAR,0,0,0,0,0,0,bye,0,25,22,0,41,0,6,0,58,39,25,125,30
2022,Byron Pringle ,WR,CHI,17,34,3,0,0,0,0,0,0,33,20,54,0,bye,90,86,75,55,265,46
2022,CJ Beathard ,QB,JAC,0,0,1,0,0,0,0,0,0,0,bye,0,7,0,0,4,30,0,27,10
2022,CJ Board ,WR,TEN,0,0,0,0,0,bye,0,0,0,0,0,0,29,0,0,0,0,0,16,29
2022,CJ Ham ,RB,MIN,23,0,18,13,0,35,bye,18,0,8,0,0,21,9,16,18,0,21,136,17
2022,CJ Uzomah ,TE,NYJ,0,0,35,44,69,78,61,63,53,bye,66,76,46,46,51,51,56,0,502,56
2022,Cade Johnson ,WR,SEA,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,36,41,55,39
2022,Cade Otton ,TE,TB,48,49,0,67,94,56,81,91,85,61,bye,52,82,59,65,84,87,35,803,70
