Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
RB,DDD,Bucky Irving,TB,@CIN,Sun  1:00pm ET,10,52.5,22,31,100%,89%,3.0,1,146.5,202.4,193.19
WR,DDD,Emeka Egbuka,TB,@CIN,Sun  1:00pm ET,10,52.5,15,9,98%,68%,25.0,2,166.7,168.8,162.03
WR,DDD,Malik Nabers,NYG,DAL,Sun  8:20pm ET,8,48.5,16,32,42%,12%,30.0,1,50.1,126.9,168.23
TE,DDD,Sam LaPorta,DET,NO,Sun  1:00pm ET,6,49.5,5,15,53%,7%,66.0,2,89.9,151.1,126.29
WR,DDD,Zay Flowers,BAL,@IND,Sun  1:00pm ET,13,49.5,17,27,97%,78%,21.0,2,208.3,192.3,177.54
RB,DDD,Cam Skattebo,NYG,DAL,Sun  8:20pm ET,8,48.5,17,27,51%,10%,5.0,2,142.0,134.2,205.01
QB,DDD,Geno Smith,NYJ,@TEN,Sun  1:00pm ET,13,38.5,30,28,19%,4%,48.0,1,187.8,234.52,209.49
DST,DDD,Seahawks,SEA,NE,Wed  8:20pm ET,11,44.5,4,18,96%,71%,1.0,1,195.0,150.0,154.9
WR,DDD,Tank Dell,HOU,BUF,Sun  1:00pm ET,8,44.5,---,13,9%,1%,29.0,2,0.0,85.9,116.64
WR,DDD,Ja'Kobi Lane,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,2%,1%,5.0,3,0.0,0.0,93.65
TE,DDD,Theo Johnson,NYG,DAL,Sun  8:20pm ET,8,48.5,---,13,56%,16%,7.0,1,107.8,78.4,69.24
WR,DDD,Elic Ayomanor,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,19,12%,2%,3.0,2,105.5,105.2,92.28
RB,DDD,Kenneth Gainwell,TB,@CIN,Sun  1:00pm ET,10,52.5,40,31,87%,42%,5.0,1,205.4,124.52,129.27
DC,DDD,Deshaun Watson Dead Cap,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,19,0%,0%,5.0,1,0.0,0.0,0.0
WR,DDD,Kendrick Law,DET,NO,Sun  1:00pm ET,6,49.5,---,10,1%,1%,3.0,3,0.0,0.0,0.0
QB,LBC,Bo Nix,DEN,@KC,Mon  8:15pm ET,10,42.5,16,12,93%,49%,5.0,1,330.14,339.08,275.5
RB,LBC,Travis Etienne,NO,@DET,Sun  1:00pm ET,8,49.5,21,7,100%,91%,34.0,1,279.9,238.6,182.24
RB,LBC,Kyren Williams,LAR,SF,Thu  8:35pm ET,11,48.5,13,22,100%,94%,84.0,1,313.3,311.2,208.4
WR,LBC,Drake London,ATL,@PIT,Sun  1:00pm ET,11,41.5,7,26,98%,54%,36.0,2,179.9,194.1,223.51
WR,LBC,Jaxon Smith-Njigba,SEA,NE,Wed  8:20pm ET,11,44.5,3,11,100%,100%,5.0,2,322.0,221.52,229.54
TE,LBC,Trey McBride,ARI,@LAC,Sun  4:25pm ET,14,46.5,2,9,100%,98%,21.0,2,252.9,194.7,158.63
RB,LBC,RJ Harvey,DEN,@KC,Mon  8:15pm ET,10,42.5,46,6,99%,79%,15.0,2,205.7,202.7,155.94
RB,LBC,Rhamondre Stevenson,NE,@SEA,Wed  8:20pm ET,11,44.5,28,4,91%,31%,27.0,1,186.8,171.8,153.46
QB,LBC,CJ Stroud,HOU,BUF,Sun  1:00pm ET,8,44.5,22,9,78%,30%,96.0,1,225.54,246.28,269.71
WR,LBC,Jerry Jeudy,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,15,50%,13%,1.0,2,102.7,147.3,92.49
WR,LBC,Michael Pittman,PIT,ATL,Sun  1:00pm ET,9,41.5,46,22,90%,48%,16.0,2,169.4,166.2,102.48
WR,LBC,De'Zhaun Stribling,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,3%,1%,,2,0.0,0.0,94.81
WR,LBC,Antonio Williams,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,3%,1%,,2,0.0,0.0,89.71
TE,LBC,Evan Engram,DEN,@KC,Mon  8:15pm ET,10,42.5,25,6,33%,9%,6.0,1,71.8,96.9,67.29
TE,LBC,Eli Raridon,NE,@SEA,Wed  8:20pm ET,11,44.5,---,20,2%,1%,,2,0.0,0.0,33.85
TE,LBC,Brock Bowers,LV,MIA,Sun  4:25pm ET,13,40.5,1,29,91%,58%,15.0,1,148.6,179.5,156.18
RB,LBC,Isiah Pacheco,DET,NO,Sun  1:00pm ET,6,49.5,45,20,58%,8%,68.0,1,99.6,125.3,98.54
WR,LBC,Jack Bech,LV,MIA,Sun  4:25pm ET,13,40.5,---,14,5%,1%,5.0,2,33.4,33.4,33.24
