Season,Week,TRUFFLE,Pos,Player,NFL,Opp,Comp,ATT,Yds,TD,Int,Att,Yds,TD,1stD,Tar,Rec,Yds,TD,1stD,Lost,Avg,Total
2022,1,GF,QB,Russell Wilson,DEN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,QB,Derek Carr,LV,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,WR,Keenan Allen,LAC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,WR,Sterling Shepard,NYG,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,RB,James Conner,ARI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,WR,Kendrick Bourne,NE,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,TE,Noah Fant,SEA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,RB,Michael Carter,NYJ,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,WR,Amari Rodgers,GB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,GF,DST,Patriots,NE,TBA,,,,,,,,,,,,,,,,-,0
2022,1,MAM,QB,Justin Fields,CHI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,WR,Mike Evans,TB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,RB,Kenyan Drake,LV,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,RB,Sony Michel,LAR,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,TE,Dallas Goedert,PHI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,WR,Courtland Sutton,DEN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,QB,Tua Tagovailoa,MIA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,WR,Chris Godwin,TB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MAM,RB,Chuba Hubbard,CAR,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
