Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2021,3yr Avg,Proj
WR,FRR,Elijah Moore,NYJ,BAL,Sun  1:00pm,10,45,39,31,55%,5%,5,2,122.20,122.20,134.50
WR,FRR,Alec Pierce,IND,@HOU,Sun  1:00pm,14,44,---,27,2%,0%,3,3,0.00,0.00,65.28
WR,FRR,JuJu Smith-Schuster,KC,@ARI,Sun  4:25pm,8,53,32,29,12%,3%,46,2,26.80,98.70,131.16
QB,GF,Russell Wilson,DEN,@SEA,Mon  8:15pm,9,41.5,7,13,96%,64%,63,2,259.82,329.08,312.22
RB,GF,Michael Carter,NYJ,BAL,Sun  1:00pm,10,45,46,7,80%,26%,5,2,164.40,164.40,110.11
RB,GF,James Conner,ARI,KC,Sun  4:25pm,13,53,17,17,96%,44%,69,1,291.70,206.60,198.78
WR,GF,Keenan Allen,LAC,LV,Sun  4:25pm,8,52,13,5,98%,83%,47,1,217.80,214.50,164.20
WR,GF,Christian Watson,GB,@MIN,Sun  4:25pm,14,49,---,32,3%,0%,15,3,0.00,0.00,96.53
WR,GF,Jameson Williams,DET,PHI,Sun  1:00pm,6,46.5,---,2,3%,0%,40,3,0.00,0.00,94.81
TE,GF,Noah Fant,SEA,DEN,Mon  8:15pm,11,41.5,16,4,74%,40%,14,2,120.00,110.50,85.02
WR,GF,David Bell,CLE,@CAR,Sun  1:00pm,9,41.5,---,6,2%,0%,5,3,0.00,0.00,73.78
QB,GF,Derek Carr,LV,@LAC,Sun  4:25pm,6,52,14,18,80%,23%,35,2,265.96,272.80,279.97
DST,GF,Patriots,NE,@MIA,Sun  1:00pm,10,44.5,17,24,94%,69%,2,1,133.00,136.00,126.40
QB,GF,Jameis Winston,NO,@ATL,Sun  1:00pm,14,41.5,17,30,8%,1%,15,1,134.40,158.42,251.26
RB,GF,Trey Sermon,SF,@CHI,Sun  1:00pm,9,42,---,19,13%,1%,5,2,35.30,35.30,23.00
WR,GF,Kendrick Bourne,NE,@MIA,Sun  1:00pm,10,44.5,---,10,33%,7%,1,1,159.50,121.32,107.06
WR,GF,Amari Rodgers,GB,@MIN,Sun  4:25pm,14,49,---,32,3%,0%,4,2,8.60,8.60,79.88
QB,MAM,Tua Tagovailoa,MIA,NE,Sun  1:00pm,11,44.5,18,3,62%,15%,50,1,193.92,172.16,272.10
RB,MAM,Sony Michel,MIA,NE,Sun  1:00pm,11,44.5,58,20,93%,67%,1,2,180.30,159.70,60.81
WR,MAM,Mike Evans,TB,@DAL,Sun  8:20pm,11,52,7,22,98%,60%,54,1,245.50,233.90,174.73
WR,MAM,Chris Godwin,TB,@DAL,Sun  8:20pm,11,52,17,22,67%,32%,52,1,203.40,205.20,159.77
WR,MAM,Courtland Sutton,DEN,@SEA,Mon  8:15pm,9,41.5,20,9,66%,18%,49,1,127.24,113.42,153.06
TE,MAM,Dallas Goedert,PHI,@DET,Sun  1:00pm,7,46.5,8,23,88%,56%,5,2,151.00,121.40,122.58
RB,MAM,Chuba Hubbard,CAR,CLE,Sun  1:00pm,13,41.5,---,16,76%,23%,4,2,156.60,156.60,64.73
QB,MAM,Justin Fields,CHI,SF,Sun  1:00pm,14,42,15,19,33%,5%,30,2,148.80,148.80,234.04
DST,MAM,Bills,BUF,@LAR,Thu  8:20pm,7,52,3,16,96%,83%,2,1,123.00,111.00,175.00
TE,MAM,Gerald Everett,LAC,LV,Sun  4:25pm,8,52,14,30,38%,20%,1,1,97.80,79.10,94.05
QB,MAM,Matt Corral,CAR,CLE,Sun  1:00pm,13,41.5,---,8,1%,0%,5,3,0.00,0.00,11.00
TE,MAM,Trey McBride,ARI,KC,Sun  4:25pm,13,53,---,10,2%,0%,3,3,0.00,0.00,50.08
RB,MAM,Rachaad White,TB,@DAL,Sun  8:20pm,11,52,54,5,3%,0%,5,3,0.00,0.00,106.03
WR,MAM,Garrett Wilson,NYJ,BAL,Sun  1:00pm,10,45,58,31,3%,0%,25,3,0.00,0.00,108.42
QB,MCM,Justin Herbert,LAC,LV,Sun  4:25pm,8,52,2,17,98%,94%,30,1,408.76,379.80,345.42
RB,MCM,Travis Etienne,JAC,@WAS,Sun  1:00pm,11,44,25,11,18%,5%,10,2,0.00,0.00,152.55
RB,MCM,Cordarrelle Patterson,ATL,NO,Sun  1:00pm,14,41.5,34,1,95%,50%,15,1,237.60,108.20,148.71
WR,MCM,Stefon Diggs,BUF,@LAR,Thu  8:20pm,7,52,4,21,99%,97%,86,1,248.50,238.80,193.26
WR,MCM,Hunter Renfrow,LV,@LAC,Sun  4:25pm,6,52,45,3,96%,80%,3,1,207.10,142.70,126.81
WR,MCM,Mike Williams,LAC,LV,Sun  4:25pm,8,52,23,5,94%,55%,15,1,221.60,168.90,165.13
TE,MCM,Kyle Pitts,ATL,NO,Sun  1:00pm,14,41.5,3,6,95%,69%,35,2,151.60,151.60,118.10
RB,MCM,Darrel Williams,ARI,KC,Sun  4:25pm,13,53,57,17,90%,50%,10,1,208.00,110.40,108.53
QB,MCM,Dak Prescott,DAL,TB,Sun  8:20pm,9,52,9,23,98%,85%,66,2,327.56,270.04,319.48
RB,MCM,Keaontay Ingram,ARI,KC,Sun  4:25pm,13,53,---,17,1%,0%,3,3,0.00,0.00,25.11
WR,MCM,Jahan Dotson,WAS,JAC,Sun  1:00pm,14,44,53,24,2%,0%,5,3,0.00,0.00,98.21
RB,MCM,Zamir White,LV,@LAC,Sun  4:25pm,6,52,---,29,2%,0%,5,3,0.00,0.00,58.52
QB,MWM,Tom Brady,TB,@DAL,Sun  8:20pm,11,52,5,4,98%,91%,84,1,388.74,335.76,317.45
RB,MWM,Aaron Jones,GB,@MIN,Sun  4:25pm,14,49,12,24,99%,84%,96,1,236.00,288.30,196.45
RB,MWM,Rhamondre Stevenson,NE,@MIA,Sun  1:00pm,10,44.5,37,15,85%,27%,3,2,136.90,136.90,125.51
WR,MWM,Cooper Kupp,LAR,BUF,Thu  8:20pm,7,52,1,1,100%,99%,53,1,384.50,260.90,263.51
WR,MWM,DK Metcalf,SEA,DEN,Mon  8:15pm,11,41.5,24,8,98%,82%,52,1,217.30,214.30,148.13
WR,MWM,Adam Thielen,MIN,GB,Sun  4:25pm,7,49,30,11,84%,15%,59,1,169.80,165.80,145.82
