League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
TRUFFLE,WR,FRR,Jalin Hyatt,NYG,TBA,,-,,---,---,17%,2%,1,1,48.3,46.7,63.05
TRUFFLE,WR,FRR,Michael Thomas,NO,TBA,,-,,---,---,30%,2%,1,1,71.8,56.5,19.72
TRUFFLE,WR,FRR,Roman Wilson,PIT,TBA,,-,,53,---,2%,1%,3,3,0,0,87.1
TRUFFLE,QB,GF,Bryce Young,CAR,TBA,,-,,27,---,35%,8%,35,2,174.38,172.56,200.42
TRUFFLE,RB,GF,JK Dobbins,LAC,TBA,,-,,45,---,51%,19%,60,1,10.7,52.2,181.55
TRUFFLE,RB,GF,Aaron Jones,MIN,TBA,,-,,29,---,99%,64%,80,1,152.3,213.8,183.77
TRUFFLE,WR,GF,Michael Pittman,IND,TBA,,-,,24,---,67%,48%,40,1,194.2,192.2,138.56
TRUFFLE,WR,GF,Calvin Ridley,TEN,TBA,,-,,25,---,99%,55%,15,2,207.5,80.4,121.32
TRUFFLE,TE,GF,Jake Ferguson,DAL,TBA,,-,,11,---,64%,45%,3,1,146.1,93.9,118.71
TRUFFLE,RB,GF,Ezekiel Elliott,DAL,TBA,,-,,38,---,64%,40%,5,1,167.5,219.52,134.47
TRUFFLE,WR,GF,Christian Watson,GB,TBA,,-,,37,---,90%,22%,15,1,94.8,119.3,130.87
TRUFFLE,WR,GF,Jameson Williams,DET,TBA,,-,,55,---,36%,7%,40,1,71.3,38.4,113.45
TRUFFLE,DST,GF,Packers,GB,TBA,,-,,24,---,47%,28%,1,1,116,118,142.2
TRUFFLE,RB,GF,Rico Dowdle,DAL,TBA,,-,,51,---,28%,3%,5,1,97.8,41.6,80.93
TRUFFLE,RB,GF,Clyde Edwards-Helaire,KC,TBA,,-,,---,---,56%,11%,6,1,72.1,96.8,86.67
TRUFFLE,TE,GF,Michael Mayer,LV,TBA,,-,,31,---,28%,6%,5,2,63.4,60.8,60.6
TRUFFLE,WR,GF,Jaxon Smith-Njigba,SEA,TBA,,-,,48,---,58%,22%,25,2,115.8,114.2,102.47
TRUFFLE,RB,GF,Kareem Hunt,CLE,TBA,,-,,---,---,52%,10%,8,1,146.5,127.8,30.01
TRUFFLE,RB,GF,MarShawn Lloyd,GB,TBA,,-,,54,---,2%,1%,5,3,0,0,64.92
TRUFFLE,QB,GF,JJ McCarthy,MIN,TBA,,-,,22,---,2%,1%,35,3,0,0,206.11
TRUFFLE,QB,GF,Michael Penix,ATL,TBA,,-,,---,---,2%,1%,3,3,0,0,13.53
TRUFFLE,QB,MAM,Tua Tagovailoa,MIA,TBA,,-,,12,---,70%,41%,70,1,275.86,228.44,262.1
TRUFFLE,RB,MAM,Saquon Barkley,PHI,TBA,,-,,7,---,100%,90%,104,1,249.7,227.4,266.58
TRUFFLE,RB,MAM,Kendre Miller,NO,TBA,,-,,55,---,21%,1%,5,2,48.4,40.8,47.81
TRUFFLE,WR,MAM,DJ Moore,CHI,TBA,,-,,22,---,99%,72%,46,2,255.5,210.6,208.94
TRUFFLE,WR,MAM,Garrett Wilson,NYJ,TBA,,-,,7,---,99%,68%,25,1,167.1,182.4,162.21
TRUFFLE,WR,MAM,Rashee Rice,KC,TBA,,-,,34,---,66%,49%,3,2,177.8,176.8,49.08
TRUFFLE,WR,MAM,Rashid Shaheed,NO,TBA,,-,,---,---,45%,13%,6,1,131.6,110.7,132.31
TRUFFLE,WR,MAM,Adam Thielen,CAR,TBA,,-,,60,---,63%,32%,11,1,184,174.9,101.45
TRUFFLE,DST,MAM,Broncos,DEN,TBA,,-,,23,---,62%,43%,2,1,137,111,132.3
TRUFFLE,WR,MAM,Rondale Moore,ATL,TBA,,-,,---,---,17%,2%,6,1,87.4,68.8,81.98
TRUFFLE,WR,MAM,Michael Wilson,ARI,TBA,,-,,---,---,20%,3%,3,2,105.5,102.7,94.74
TRUFFLE,WR,MAM,Jermaine Burton,CIN,TBA,,-,,---,---,2%,1%,3,3,0,0,90.02
TRUFFLE,QB,MAM,Caleb Williams,CHI,TBA,,-,,14,---,3%,1%,50,3,0,0,287.12
TRUFFLE,DST,MAM,Ravens,BAL,TBA,,-,,1,---,77%,47%,1,1,173,123,160.2
TRUFFLE,QB,MCM,Justin Herbert,LAC,TBA,,-,,15,---,71%,31%,70,1,250.66,315.92,291.43
TRUFFLE,RB,MCM,Travis Etienne,JAC,TBA,,-,,8,---,99%,76%,60,2,300.4,264.5,200.93
TRUFFLE,RB,MCM,Damien Harris,BUF,TBA,,-,,---,---,37%,2%,1,1,26,117.4,0
TRUFFLE,WR,MCM,Jordan Addison,MIN,TBA,,-,,38,---,81%,35%,15,2,189.3,191.4,139.16
TRUFFLE,WR,MCM,Puka Nacua,LAR,TBA,,-,,8,---,68%,58%,1,3,266.5,266.1,194.6
TRUFFLE,TE,MCM,Tucker Kraft,GB,TBA,,-,,---,---,28%,16%,2,1,65.5,64,53.8
TRUFFLE,RB,MCM,Zack Moss,CIN,TBA,,-,,27,---,59%,21%,15,1,195.6,119.9,147.29
TRUFFLE,WR,MCM,Josh Reynolds,DEN,TBA,,-,,---,---,27%,5%,1,1,120.8,91.4,84.26
TRUFFLE,WR,MCM,Christian Kirk,JAC,TBA,,-,,29,---,65%,8%,36,1,127.3,170,134.09
TRUFFLE,DST,MCM,Eagles,PHI,TBA,,-,,6,---,100%,79%,5,1,121,125,152.2
TRUFFLE,RB,MCM,Jordan Mason,SF,TBA,,-,,---,---,14%,3%,1,1,55.7,49.4,30.6
TRUFFLE,WR,MCM,Jalen Guyton,LV,TBA,,-,,---,---,3%,1%,1,1,20.9,33.7,21.43
TRUFFLE,WR,MCM,Parker Washington,JAC,TBA,,-,,---,---,10%,2%,1,1,28.2,24.3,19.94
TRUFFLE,TE,MCM,Gerald Everett,CHI,TBA,,-,,32,---,49%,19%,1,1,85.1,99.5,76.64
TRUFFLE,TE,MCM,Tanner Hudson,CIN,TBA,,-,,---,---,9%,3%,1,1,62.2,22.7,16.62
TRUFFLE,RB,MCM,Ray Davis,BUF,TBA,,-,,56,---,2%,1%,5,3,0,0,25.61
TRUFFLE,RB,MCM,Kimani Vidal,LAC,TBA,,-,,57,---,2%,1%,3,3,0,0,20.91
TRUFFLE,RB,MCM,Jaylen Wright,MIA,TBA,,-,,49,---,2%,1%,5,3,0,0,20.9
TRUFFLE,QB,MWM,Matthew Stafford,LAR,TBA,,-,,21,---,66%,35%,101,1,247.9,226.12,255.37
TRUFFLE,RB,MWM,Najee Harris,PIT,TBA,,-,,21,---,98%,56%,70,2,225.5,260.62,164.23
TRUFFLE,RB,MWM,Bijan Robinson,ATL,TBA,,-,,3,---,100%,92%,50,2,262.3,260.5,230.33
TRUFFLE,WR,MWM,Gabe Davis,JAC,TBA,,-,,---,---,63%,24%,25,1,150.6,143.4,106.5
TRUFFLE,WR,MWM,Chris Godwin,TB,TBA,,-,,35,---,84%,44%,49,2,182.2,187.3,132.24
TRUFFLE,TE,MWM,Cole Kmet,CHI,TBA,,-,,16,---,75%,36%,3,2,146.1,120.5,139.16
TRUFFLE,WR,MWM,Kendrick Bourne,NE,TBA,,-,,---,---,10%,1%,10,1,79,99.34,117
TRUFFLE,RB,MWM,Tony Pollard,TEN,TBA,,-,,19,---,100%,86%,31,1,235.7,226.2,148.81
TRUFFLE,QB,MWM,Jake Browning,CIN,TBA,,-,,---,---,52%,23%,10,1,156.24,47.6,13.14
TRUFFLE,DST,MWM,Chiefs,KC,TBA,,-,,9,---,72%,54%,1,1,126,123,143.5
TRUFFLE,QB,MWM,Hendon Hooker,DET,TBA,,-,,---,---,7%,1%,5,2,0,0,0
TRUFFLE,WR,MWM,Jonathan Mingo,CAR,TBA,,-,,---,---,25%,4%,10,2,56.8,54.6,61.37
TRUFFLE,QB,NN,Joe Burrow,CIN,TBA,,-,,6,---,66%,33%,70,1,156.46,280.88,300.06
TRUFFLE,RB,NN,Breece Hall,NYJ,TBA,,-,,2,---,100%,82%,50,1,282.5,190.2,272.86
TRUFFLE,RB,NN,Derrick Henry,BAL,TBA,,-,,12,---,100%,90%,95,1,289.06,284.64,237.51
TRUFFLE,WR,NN,Justin Jefferson,MIN,TBA,,-,,3,---,100%,95%,40,1,186.4,269.82,196.6
TRUFFLE,WR,NN,Elijah Moore,CLE,TBA,,-,,---,---,40%,11%,2,1,106.2,99.3,77.89
