RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,AGE,SOS SEASON,ECR VS. ADP
72,7,Terry McLaurin,WAS,WR28,14,28,3 out of 5 stars,-
73,7,Diontae Johnson,PIT,WR29,6,27,1 out of 5 stars,-
74,7,Calvin Ridley,JAC,WR30,9,28,3 out of 5 stars,-
75,7,Dalton Kincaid,BUF,TE5,13,24,3 out of 5 stars,-
76,7,Kyle Pitts,ATL,TE6,11,23,3 out of 5 stars,-
77,8,Derrick Henry,TEN,RB23,7,29,3 out of 5 stars,-
78,8,Nico Collins,HOU,WR31,7,24,3 out of 5 stars,-
79,8,Geno Smith,SEA,QB19,5,33,2 out of 5 stars,-
80,8,Aaron Jones,GB,RB24,6,28,2 out of 5 stars,-
81,8,Zach Charbonnet,SEA,RB25,5,22,2 out of 5 stars,-
82,8,Russell Wilson,DEN,QB20,9,35,4 out of 5 stars,-
83,8,Christian Kirk,JAC,WR32,9,27,3 out of 5 stars,-
84,8,Brian Robinson Jr.,WAS,RB26,14,24,3 out of 5 stars,-
85,8,Nick Chubb,CLE,RB27,5,27,2 out of 5 stars,-
86,8,Dameon Pierce,HOU,RB28,7,23,3 out of 5 stars,-
87,8,Keenan Allen,LAC,WR33,5,31,3 out of 5 stars,-
88,8,Marquise Brown,ARI,WR34,14,26,1 out of 5 stars,-
89,8,Tank Dell,HOU,WR35,7,24,3 out of 5 stars,-
90,8,Jordan Love,GB,QB21,6,25,4 out of 5 stars,-
91,8,Kirk Cousins,MIN,QB22,13,35,5 out of 5 stars,-
92,8,Jahan Dotson,WAS,WR36,14,23,3 out of 5 stars,-
93,8,Mike Evans,TB,WR37,5,30,4 out of 5 stars,-
94,8,George Kittle,SF,TE7,9,30,3 out of 5 stars,-
95,8,Amari Cooper,CLE,WR38,5,29,2 out of 5 stars,-
96,8,Josh Downs,IND,WR39,11,22,2 out of 5 stars,-
97,8,Jerry Jeudy,DEN,WR40,9,24,3 out of 5 stars,-
98,9,Will Levis,TEN,QB23,7,24,3 out of 5 stars,-
99,9,Daniel Jones,NYG,QB24,13,26,2 out of 5 stars,-
100,9,Kenny Pickett,PIT,QB25,6,25,2 out of 5 stars,-
101,9,Dallas Goedert,PHI,TE8,10,28,4 out of 5 stars,-
102,9,Kyren Williams,LAR,RB29,10,23,3 out of 5 stars,-
103,9,Alexander Mattison,MIN,RB30,13,25,3 out of 5 stars,-
104,9,Derek Carr,NO,QB26,11,32,4 out of 5 stars,-
105,9,Quentin Johnston,LAC,WR41,5,22,3 out of 5 stars,-
106,9,Miles Sanders,CAR,RB31,7,26,2 out of 5 stars,-
107,9,Roschon Johnson,CHI,RB32,13,22,3 out of 5 stars,-
108,9,Khalil Herbert,CHI,RB33,13,25,3 out of 5 stars,-
109,9,Evan Engram,JAC,TE9,9,29,2 out of 5 stars,-
110,9,DeAndre Hopkins,TEN,WR42,7,31,3 out of 5 stars,-
111,9,Kendre Miller,NO,RB34,11,21,3 out of 5 stars,-
112,9,Treylon Burks,TEN,WR43,7,23,3 out of 5 stars,-
113,9,Trey McBride,ARI,TE10,14,24,3 out of 5 stars,-
114,9,Rashee Rice,KC,WR44,10,23,3 out of 5 stars,-
115,9,James Conner,ARI,RB35,14,28,2 out of 5 stars,-
116,9,Jameson Williams,DET,WR45,9,22,3 out of 5 stars,-
117,9,Gabe Davis,BUF,WR46,13,24,2 out of 5 stars,-
118,9,Jerome Ford,CLE,RB36,5,24,2 out of 5 stars,-
119,9,Matthew Stafford,LAR,QB27,10,35,3 out of 5 stars,-
120,9,Tyjae Spears,TEN,RB37,7,22,3 out of 5 stars,-
121,9,AJ Dillon,GB,RB38,6,25,2 out of 5 stars,-
122,9,Jaylen Warren,PIT,RB39,6,25,4 out of 5 stars,-
123,9,Cole Kmet,CHI,TE11,13,24,3 out of 5 stars,-
124,9,Aaron Rodgers,NYJ,QB28,7,40,4 out of 5 stars,-
125,9,Tank Bigsby,JAC,RB40,9,22,3 out of 5 stars,-
126,9,Jayden Reed,GB,WR47,6,23,4 out of 5 stars,-
127,9,Baker Mayfield,TB,QB29,5,28,3 out of 5 stars,-
128,9,Jakobi Meyers,LV,WR48,13,27,4 out of 5 stars,-
129,10,Elijah Moore,CLE,WR49,5,23,2 out of 5 stars,-
130,10,Antonio Gibson,WAS,RB41,14,25,3 out of 5 stars,-
131,10,Dalton Schultz,HOU,TE12,7,27,2 out of 5 stars,-
132,10,Marvin Mims Jr.,DEN,WR50,9,21,3 out of 5 stars,-
133,10,Tyler Lockett,SEA,WR51,5,31,2 out of 5 stars,-
134,10,Tyler Allgeier,ATL,RB42,11,23,3 out of 5 stars,-
135,10,Pat Freiermuth,PIT,TE13,6,25,2 out of 5 stars,-
136,10,David Njoku,CLE,TE14,5,27,2 out of 5 stars,-
137,10,Luke Musgrave,GB,TE15,6,23,4 out of 5 stars,-
138,10,Rashod Bateman,BAL,WR52,13,24,2 out of 5 stars,-
139,10,Mike Williams,LAC,WR53,5,29,3 out of 5 stars,-
140,10,Mac Jones,NE,QB30,11,25,4 out of 5 stars,-
141,10,Romeo Doubs,GB,WR54,6,23,4 out of 5 stars,-
142,10,J.K. Dobbins,BAL,RB43,13,24,2 out of 5 stars,-
143,10,Darren Waller,NYG,TE16,13,31,4 out of 5 stars,-
144,10,Courtland Sutton,DEN,WR55,9,28,3 out of 5 stars,-
145,10,Michael Mayer,LV,TE17,13,22,3 out of 5 stars,-
146,10,Devin Singletary,HOU,RB44,7,26,3 out of 5 stars,-
147,10,Brandin Cooks,DAL,WR56,7,30,4 out of 5 stars,-
148,10,Jalin Hyatt,NYG,WR57,13,22,3 out of 5 stars,-
149,10,Gus Edwards,BAL,RB45,13,28,2 out of 5 stars,-
150,10,Chigoziem Okonkwo,TEN,TE18,7,24,3 out of 5 stars,-
151,10,Adam Thielen,CAR,WR58,7,33,4 out of 5 stars,-
152,10,Kenneth Gainwell,PHI,RB46,10,24,3 out of 5 stars,-
153,10,Jake Ferguson,DAL,TE19,7,24,3 out of 5 stars,-
154,10,Jonathan Mingo,CAR,WR59,7,22,4 out of 5 stars,-
155,10,Elijah Mitchell,SF,RB47,9,25,2 out of 5 stars,-
156,10,Jamaal Williams,NO,RB48,11,28,3 out of 5 stars,-
157,11,Raheem Mostert,MIA,RB49,10,31,4 out of 5 stars,-
158,11,Skyy Moore,KC,WR60,10,23,3 out of 5 stars,-
159,11,Kadarius Toney,KC,WR61,10,24,3 out of 5 stars,-
160,11,Desmond Ridder,ATL,QB31,11,24,4 out of 5 stars,-
161,11,JuJu Smith-Schuster,NE,WR62,11,27,4 out of 5 stars,-
162,11,Dalvin Cook,NYJ,RB50,7,28,5 out of 5 stars,-
163,11,Wan'Dale Robinson,NYG,WR63,13,22,3 out of 5 stars,-
164,11,Keaton Mitchell,BAL,RB51,13,21,2 out of 5 stars,-
165,11,Damien Harris,BUF,RB52,13,26,3 out of 5 stars,-
166,11,Greg Dulcich,DEN,TE20,9,23,4 out of 5 stars,-
167,11,Darnell Mooney,CHI,WR64,13,26,4 out of 5 stars,-
168,11,Jeff Wilson Jr.,MIA,RB53,10,28,4 out of 5 stars,-
169,11,Aidan O'Connell,LV,QB32,13,25,4 out of 5 stars,-
170,11,Cade Otton,TB,TE21,5,24,3 out of 5 stars,-
171,11,D'Onta Foreman,CHI,RB54,13,27,3 out of 5 stars,-
172,11,Tyler Higbee,LAR,TE22,10,30,2 out of 5 stars,-
173,11,Jimmy Garoppolo,LV,QB33,13,32,4 out of 5 stars,-
174,11,Michael Wilson,ARI,WR65,14,23,1 out of 5 stars,-
175,11,Odell Beckham Jr.,BAL,WR66,13,31,2 out of 5 stars,-
176,11,Michael Thomas,NO,WR67,11,30,4 out of 5 stars,-
177,11,Rondale Moore,ARI,WR68,14,23,1 out of 5 stars,-
178,11,Zach Wilson,NYJ,QB34,7,24,4 out of 5 stars,-
179,11,Chase Brown,CIN,RB55,7,23,2 out of 5 stars,-
180,11,Curtis Samuel,WAS,WR69,14,27,3 out of 5 stars,-
181,11,Zach Evans,LAR,RB56,10,22,3 out of 5 stars,-
182,11,Cam Akers,MIN,RB57,13,24,3 out of 5 stars,-
183,11,Allen Lazard,NYJ,WR70,7,27,4 out of 5 stars,-
184,11,Gerald Everett,LAC,TE23,5,29,3 out of 5 stars,-
185,11,Michael Gallup,DAL,WR71,7,27,4 out of 5 stars,-
186,11,Tyler Boyd,CIN,WR72,7,29,3 out of 5 stars,-
187,11,Rashid Shaheed,NO,WR73,11,25,4 out of 5 stars,-
188,11,Joshua Palmer,LAC,WR74,5,24,3 out of 5 stars,-
189,11,Alec Pierce,IND,WR75,11,23,2 out of 5 stars,-
190,11,Hunter Henry,NE,TE24,11,28,3 out of 5 stars,-
191,11,DJ Chark Jr.,CAR,WR76,7,27,4 out of 5 stars,-
