Season,Week,Player,Pos,NFL,Cmp%,Pa20,Pa40,RuYPC,Ru20,Tar,Tar%,ReYPC,Re20,Re40,ReFD%,TotYd,Avg,FPts
2023,12,George Pickens,WR,PIT,0,0,0,0,0,5,15.2,19.3,1,1,66.7,58,7.8,7.8
2023,12,Juwan Johnson,TE,NO,0,0,0,0,0,7,18.4,11.2,1,0,75,45,7.5,7.5
2023,12,Will Levis,QB,TEN,64.3,2,0,-1,0,0,0,0,0,0,0,182,7.4,7.4
2023,12,Justin Watson,WR,KC,0,0,0,0,0,3,8.8,3,0,0,100,3,7.3,7.3
2023,12,Jaylen Warren,RB,PIT,0,0,0,3.8,0,3,9.1,4.3,0,0,66.7,62,7.2,7.2
2023,12,Saquon Barkley,RB,NYG,0,0,0,3.8,0,3,12,6,0,0,0,52,7.2,7.2
2023,12,Jameson Williams,WR,DET,0,0,0,0,0,3,6.8,25.5,1,0,100,51,7.1,7.1
2023,12,Nick Westbrook-Ikhine,WR,TEN,0,0,0,0,0,5,17.9,10.2,0,0,75,41,7.1,7.1
2023,12,Diontae Johnson,WR,PIT,0,0,0,0,0,8,24.2,12.5,1,0,50,50,7,7
2023,12,Joe Mixon,RB,CIN,0,0,0,2,0,2,7.7,22,1,0,50,60,7,7
2023,12,DeAndre Hopkins,WR,TEN,0,0,0,0,0,5,17.9,16.3,0,0,66.7,49,6.9,6.9
2023,12,Miles Sanders,RB,CAR,0,0,0,1.9,0,1,3.2,0,0,0,0,28,6.8,6.8
2023,12,Brandon Powell,WR,MIN,0,0,0,2,0,3,9.4,15,1,0,66.7,47,6.7,6.7
2023,12,Khalil Shakir,WR,BUF,0,0,0,0,0,5,9.8,15.7,1,0,66.7,47,6.7,6.7
2023,12,Gus Edwards,RB,BAL,0,0,0,3.2,0,1,3.1,11,0,0,100,37,6.7,6.7
2023,12,Malik Heath,WR,GB,0,0,0,0,0,4,12.5,11.5,0,0,50,46,6.6,6.6
2023,12,Chris Godwin,WR,TB,0,0,0,0,0,7,22.6,15,1,0,66.7,45,6.5,6.5
2023,12,Luke Farrell,TE,JAC,0,0,0,0,0,5,13.2,18.3,1,1,33.3,55,6.5,6.5
2023,12,Cordarrelle Patterson,RB,ATL,0,0,0,5.4,0,0,0,0,0,0,0,43,6.3,6.3
2023,12,Cole Kmet,TE,CHI,0,0,0,0,0,7,18.9,6.1,1,0,28.6,43,6.3,6.3
2023,12,Josh Downs,WR,IND,0,0,0,0,0,13,31.7,8.6,0,0,40,43,6.3,6.3
2023,12,Chris Moore,WR,TEN,0,0,0,1,0,4,14.3,13.7,1,0,66.7,42,6.2,6.2
2023,12,DeVante Parker,WR,NE,0,0,0,0,0,5,14.3,14,0,0,66.7,42,6.2,6.2
2023,12,Robert Woods,WR,HOU,0,0,0,0,0,3,8.3,20,1,0,100,40,6,6
2023,12,Lynn Bowden,WR,NO,0,0,0,20,1,2,5.3,0,0,0,0,40,6,6
2023,12,Jalen Tolbert,WR,DAL,0,0,0,0,0,3,9.4,24.5,1,0,50,49,5.9,5.9
2023,12,Jordan Addison,WR,MIN,0,0,0,0,0,10,31.2,6.5,0,0,33.3,39,5.9,5.9
2023,12,Elijah Mitchell,RB,SF,0,0,0,5.6,0,1,3.2,-3,0,0,0,36,5.9,5.9
2023,12,Evan Engram,TE,JAC,0,0,0,0,0,8,21.1,9.8,1,0,20,49,5.9,5.9
2023,12,Khalil Herbert,RB,CHI,0,0,0,4,0,2,5.4,7,0,0,50,38,5.8,5.8
2023,12,Hunter Renfrow,WR,LV,0,0,0,0,0,4,11.8,9.5,0,0,50,38,5.8,5.8
2023,12,Antonio Gibson,RB,WAS,0,0,0,3.5,0,4,9.1,5.3,0,0,0,37,5.7,5.7
2023,12,Romeo Doubs,WR,GB,0,0,0,0,0,4,12.5,12.3,0,0,66.7,37,5.7,5.7
2023,12,Kenneth Gainwell,RB,PHI,0,0,0,13,1,3,9.7,5,0,0,50,36,5.6,5.6
2023,12,Chigoziem Okonkwo,TE,TEN,0,0,0,0,0,5,17.9,11.2,1,0,25,45,5.5,5.5
2023,12,KJ Osborn,WR,MIN,0,0,0,0,0,4,12.5,11.3,1,0,66.7,34,5.4,5.4
2023,12,Tyler Conklin,TE,NYJ,0,0,0,0,0,5,13.2,8.2,0,0,50,33,5.3,5.3
2023,12,Harrison Bryant,TE,CLE,0,0,0,0,0,1,2.4,2,0,0,100,2,5.2,5.2
2023,12,James Conner,RB,ARI,0,0,0,4.5,0,5,11.1,1.2,0,0,25,32,5.2,5.2
2023,12,Kareem Hunt,RB,CLE,0,0,0,3.1,0,0,0,0,0,0,0,22,5.2,5.2
2023,12,Jaxon Smith-Njigba,WR,SEA,0,0,0,0,0,3,11.1,20.5,1,0,50,41,5.1,5.1
2023,12,Justice Hill,RB,BAL,0,0,0,6.2,0,1,3.1,0,0,0,0,31,5.1,5.1
2023,12,Noah Gray,TE,KC,0,0,0,0,0,3,8.8,10,0,0,66.7,30,5,5
2023,12,Will Mallory,TE,IND,0,0,0,0,0,3,7.3,14.5,0,0,100,29,4.9,4.9
2023,12,Dalton Kincaid,TE,BUF,0,0,0,0,0,6,11.8,7.6,0,0,20,38,4.8,4.8
2023,12,Puka Nacua,WR,LAR,0,0,0,0,0,8,24.2,6.8,0,0,50,27,4.7,4.7
2023,12,Michael Mayer,TE,LV,0,0,0,0,0,4,11.8,13.5,0,0,100,27,4.7,4.7
2023,12,Joshua Dobbs,QB,MIN,68.8,2,0,5.5,0,0,0,0,0,0,0,196,4.5,4.5
2023,12,Noah Fant,TE,SEA,0,0,0,0,0,2,7.4,12.5,0,0,100,25,4.5,4.5
2023,12,Jake Ferguson,TE,DAL,0,0,0,0,0,3,9.4,35,1,0,100,35,4.5,4.5
2023,12,Rondale Moore,WR,ARI,0,0,0,0,0,3,6.7,17.5,1,0,50,35,4.5,4.5
2023,12,Michael Carter,RB,ARI,0,0,0,4.8,0,4,8.9,3.8,0,0,0,34,4.4,4.4
2023,12,DJ Chark,WR,CAR,0,0,0,0,0,4,12.9,11.3,0,0,33.3,34,4.4,4.4
2023,12,Skyy Moore,WR,KC,0,0,0,0,0,3,8.8,11.3,0,0,33.3,34,4.4,4.4
2023,12,Xavier Hutchinson,WR,HOU,0,0,0,0,0,1,2.8,34,1,0,100,34,4.4,4.4
2023,12,Kyle Pitts,TE,ATL,0,0,0,0,0,2,9.5,11,0,0,100,22,4.2,4.2
2023,12,DK Metcalf,WR,SEA,0,0,0,0,0,9,33.3,10.7,0,0,33.3,32,4.2,4.2
2023,12,Rashod Bateman,WR,BAL,0,0,0,0,0,5,15.6,10.5,0,0,100,21,4.1,4.1
2023,12,Tyler Lockett,WR,SEA,0,0,0,0,0,5,18.5,10,0,0,33.3,30,4,4
2023,12,Isaiah Likely,TE,BAL,0,0,0,0,0,6,18.8,10,0,0,0,40,4,4
